ID,Nom de la filiale,Pays,Région,Secteur d'activité,Type de production,Volume de production,Coût de production,Prix de vente,Revenu,Dépenses,Profit,Nombre d'employés,Taux d'accidents,Investissements en RD,Emissions de CO2,Efficacité énergétique,Date de création de la filiale,Date de dernier rapport financier,Note ESG,Statut légal,Part de marché
16,"Vaughn, Dawson and Phillips",Kiribati,West Nicholasmouth,Exploration,Gaz,8123,384051.6018187286,341675.5990223691,506432.1081449349,109146.38479041148,127281.59580191664,1856,5.024683439137015,385097.3604307887,7395.671193598722,63.42467914414552,2010-03-24,2023-09-04,47.9,Publique,0.09
17,Pruitt-Schwartz,Saint Barthelemy,Port Kaitlyn,Distribution,Éolien,7585,58472.76197187329,209975.343593562,743436.7541019976,254916.2192513618,210346.50191990228,508,3.039893181201446,459751.45540811366,5691.955479366074,71.83690706267137,2016-04-27,2023-01-04,69.97,Privée,64.42
18,"Baker, Phillips and Levine",Uzbekistan,West Erica,Production,Éolien,385,452707.82876701566,203665.5589211809,156815.38731468155,185886.2780239673,-358.9439967108119,4870,9.520897966730612,65032.40419880712,4517.18757763992,95.4522922420633,2010-05-22,2023-12-29,70.48,Privée,33.84
19,Garrett Group,Australia,North Dale,Exploration,Gaz,5814,324343.7750463782,420078.9605013486,730100.2769112434,430328.5042217197,377596.17003876617,3230,3.135059332816064,184188.68124341703,7658.757789765231,12.461085298265116,2016-09-09,2023-12-18,36.94,Privée,52.77
20,"Carter, Sweeney and Griffith",Martinique,Cookeshire,Raffinage,Solaire,3101,88780.22994545253,504096.99061949743,262249.1065886564,176189.1020413304,418110.0870562423,4633,4.558100005674328,293928.12578620925,534.8699516079043,37.88092308263822,2002-05-23,2023-02-16,18.53,Partenariat,72.47
21,"Green, Morgan and Palmer",Tonga,West Elizabethton,Distribution,Gaz,442,87217.52273030291,301251.4410390658,512899.6361030669,129292.25267304532,50246.96214593796,2901,9.555821408944423,179237.78999698066,7188.901400727266,22.81583628743892,2014-06-03,2023-11-22,53.04,Partenariat,47.88
22,"Ramos, Rice and Walker",Bermuda,Schneiderland,Raffinage,Gaz,7460,437327.99370445154,291794.9092033645,346257.60602746974,408540.7302964727,-16506.196592846325,225,3.67775970938247,348526.87521845615,1234.5200891213403,41.09784634828577,1994-07-17,2023-11-15,90.46,Privée,71.93
23,Mason-Hayden,Mongolia,South Ivan,Raffinage,Gaz,309,124636.4630177136,250932.61707396084,848541.685860486,410894.1782027677,211205.3798066644,2466,6.45852662467849,36095.34639213895,7985.65652898738,58.48065024852169,1999-03-08,2023-08-21,65.49,Privée,92.06
24,"Chambers, Khan and Thornton",French Southern Territories,South Lauratown,Renouvelables,Éolien,6630,298308.7999755872,383943.5164695735,315335.15253325086,254098.1973931809,337844.1553658936,4894,8.896190564010718,223813.81121190067,5590.946040637007,80.67545001744244,2001-01-31,2023-12-21,19.38,Partenariat,17.51
25,"Simmons, Barrera and Robinson",Korea,Port Michael,Raffinage,Pétrole,8840,335055.6124136575,111874.93828512348,239661.6666404963,477544.3472145239,231279.2331013941,933,0.1562513236417617,185073.73190634657,4414.038387160624,18.88730255659101,2004-06-02,2023-09-18,7.56,Publique,92.12
26,Schwartz-Montoya,Lesotho,West Rebeccaberg,Production,Hydroélectrique,1206,248747.20257204352,338193.77382543625,671942.6803923165,83909.49631613391,94534.10049238616,1448,6.321049222496262,110951.45426938689,5301.800028565678,24.0327073255924,2011-11-20,2023-07-13,16.48,Partenariat,22.83
27,"Cohen, Hunter and Ward",Belize,Port Vanessaborough,Renouvelables,Hydroélectrique,9506,208311.79138000368,254626.3340874943,546224.8661832334,280863.22987896623,153389.82360488095,3155,9.892261086561223,192565.8462910757,1289.593404551125,41.89992676584895,2008-04-29,2023-06-24,15.39,Privée,69.42
28,Horton and Sons,Israel,Andrewville,Distribution,Éolien,684,208861.0696863525,411542.5554408707,686692.5704073316,115269.7088887664,104801.78694331698,189,3.1184048529657997,62930.58754166801,9639.044373641109,56.22469945380924,2012-04-22,2023-10-20,72.98,Partenariat,56.77
29,Smith LLC,Eritrea,Lake Terrihaven,Raffinage,Gaz,7467,172864.5926386984,271252.0836113678,916292.1808815832,469674.96560904966,152312.3846669558,2243,7.41425132279122,337838.59262660344,4652.480303439266,45.96065987786551,2006-10-06,2023-02-26,3.53,Partenariat,61.19
30,"Elliott, Andrews and Kim",Zambia,Julieburgh,Renouvelables,Gaz,532,380407.1572869952,270465.4866729971,424150.7839855834,235759.89835474783,443354.27868608845,4413,9.609364840783794,443070.5093356956,6839.162516190444,64.1637929561298,2022-06-04,2023-04-15,37.07,Partenariat,85.95
31,Freeman-Kemp,United States Minor Outlying Islands,Lake Francisco,Distribution,Solaire,2327,378281.87782386615,535835.2906203107,331538.9290276496,493421.8752424313,18297.44771848127,4834,5.354080586944836,48525.0962059331,6824.165815075126,59.297678845446825,1998-01-17,2023-04-05,6.93,Publique,1.55
32,Carson-Sanders,Gabon,Johnsonmouth,Exploration,Solaire,163,447310.27533365984,522038.23931648966,739010.3186193536,144200.34008074534,74267.47497342603,1163,0.4102257169000622,130917.03955278978,7523.402549985346,61.208404654205694,2004-05-19,2023-09-26,50.91,Partenariat,46.19
33,Clarke-Finley,China,West Tylerchester,Distribution,Gaz,1642,481627.5971344845,120112.2278663864,943956.3658690924,267180.38593365607,421564.5709960911,3972,0.1151871503391122,102098.8634100718,9858.06277294266,34.151186719036374,2010-10-27,2023-07-19,69.47,Publique,81.34
34,Ruiz Ltd,Northern Mariana Islands,Annemouth,Production,Éolien,5245,105771.14585936326,579312.9275264578,630155.9144468944,158271.87003768788,408221.86743849854,4030,6.2717912249314,75658.7657695329,1206.5975055099807,27.362930608763357,2014-01-12,2023-08-09,39.25,Partenariat,18.74
35,Hernandez and Sons,Chile,Marshallstad,Raffinage,Gaz,1595,134877.19876223916,370244.7591614663,484411.9102410942,485657.0741073468,257153.44092556796,3780,3.970561476554842,101416.48830699488,4988.767276903944,89.01726211866166,1997-07-28,2023-08-30,97.44,Partenariat,83.36
36,Hunt Group,Panama,Cisneroston,Renouvelables,Solaire,380,435373.48265070753,204335.2413650449,323899.0069070207,466308.9244129395,351823.8636743376,336,6.620300082059545,426453.378147992,1244.339306329221,71.83275838262742,2000-03-03,2023-01-24,41.76,Publique,21.03
37,"Glenn, Barron and Mendoza",Angola,Kimmouth,Production,Hydroélectrique,2640,126679.95176740504,569494.381452952,748099.6976774589,253080.9013754485,210495.3566605412,3847,9.689140323662802,206557.5293154269,5504.995578263,93.85250283224946,2011-09-19,2023-12-27,80.49,Partenariat,25.74
38,Carney-Rose,Mexico,Port Monicaville,Distribution,Solaire,2509,84358.64514506893,552183.6529482189,610405.0910549646,402111.4770155228,264533.75185935624,4132,8.072790003096493,10167.395133932596,8681.177843109148,47.854474809260005,2005-04-08,2023-11-22,95.38,Publique,22.23
39,Orr-Schroeder,Yemen,Contrerasmouth,Distribution,Pétrole,523,107213.67768019982,201671.44754937373,416211.2296869909,253029.87470101312,331427.7631825193,2329,3.898669540913391,92595.18607391955,6363.177151528184,28.73424428465595,2001-05-01,2023-01-07,9.02,Publique,9.56
40,Craig Group,Tonga,Terrimouth,Distribution,Éolien,9417,76993.5589964599,531574.0236424555,131645.4590786199,80667.82685402717,156765.53189624217,2524,3.191138462589161,76564.96717562339,5075.000616774745,67.28259307219096,2017-10-12,2023-11-27,38.83,Publique,93.06
41,"Owen, Moreno and Hendricks",French Southern Territories,Jenniferfort,Renouvelables,Hydroélectrique,4869,264133.9113352906,503018.5553870831,415288.8864949724,428235.37127443874,474576.1940860861,4220,8.098027357839715,44866.59797775483,5852.130110839554,76.75645504277152,2012-10-29,2023-01-21,94.72,Publique,9.33
42,Lynch and Sons,Jersey,East Kathy,Distribution,Pétrole,1658,174098.94990234208,513093.809193792,329206.6667269404,443993.6189665473,24720.317146590474,1401,0.614328852163305,159770.5867800921,2924.7358263560063,43.30721884452625,2014-08-30,2023-07-10,65.61,Publique,6.66
43,Gonzalez Group,Australia,Brownland,Raffinage,Gaz,3193,193059.74246319983,424171.5160029386,222406.9491473997,279120.3435180057,426994.4115231951,4273,5.193329697030161,18021.526664409048,1656.1852946341155,24.125561380227715,2023-11-01,2023-01-21,85.62,Privée,62.96
44,Campbell PLC,Russian Federation,Port Scottland,Exploration,Éolien,240,190176.1973017635,422382.9589134999,839873.7261029327,150952.91644217307,464908.635736568,998,7.676760880825952,465611.27432904753,8019.662910876343,50.82735310093794,2018-04-04,2023-05-21,12.55,Publique,20.14
45,"Harris, Contreras and Vang",Turks and Caicos Islands,East Alexandria,Exploration,Gaz,5019,172355.97015232884,373310.5459329584,721857.3467858679,143860.57704094413,379829.16632518166,4155,7.241592562088755,288275.6299816308,4482.066786041313,96.12523265377204,2021-11-27,2023-12-20,74.22,Publique,89.14
46,Henry and Sons,Burkina Faso,East Emily,Production,Éolien,6627,175281.9871574931,428009.1315270965,579432.5898625401,217169.5191707397,133513.8067390762,2778,2.6511209617860887,317780.0739445355,7644.4683688758205,88.24356594371356,2009-10-20,2023-05-27,60.67,Publique,96.9
47,Robinson-Nelson,Senegal,West Christopherfurt,Raffinage,Hydroélectrique,5351,482972.5374576878,517532.8947998319,459270.53528156073,499238.9085689266,354458.1153135071,1382,8.982691436022114,418793.2351309492,4407.974015667607,20.467599121274617,2005-06-03,2023-02-02,81.76,Partenariat,5.89
48,Smith-Freeman,Panama,Johnsonville,Exploration,Pétrole,3126,370797.3410537402,374908.248892504,573350.1989762832,242721.73446562528,497901.9306815068,2657,0.8427896579928362,47166.44172165982,897.9874858242362,50.48900171376346,2006-09-11,2024-01-01,16.24,Publique,81.11
49,"Williams, Nelson and Wade",Holy See (Vatican City State),New Jessicaville,Distribution,Hydroélectrique,8119,353696.9466449665,307143.5836918452,465255.0674882298,426184.9949110992,90361.62995195229,871,9.222242945109384,323739.6464947625,2408.8819809551983,19.014525316177576,1994-07-20,2023-12-15,16.23,Publique,56.53
50,May LLC,El Salvador,South Lance,Exploration,Hydroélectrique,763,439425.8143354295,473001.2715929011,389339.12331375387,218851.60180156605,312861.1149668,1115,8.213351327954147,158606.1987335872,2853.728401427411,29.38848112324557,2004-03-07,2023-07-22,73.91,Partenariat,76.01
51,Miller Group,Seychelles,Port John,Raffinage,Hydroélectrique,9974,208005.44555330317,233354.0585815172,359012.80060749024,132580.72384778463,434228.9494470107,3795,0.1789407096539319,232720.22945102505,2411.690113967697,86.67657082091446,2001-08-10,2023-09-13,86.08,Partenariat,67.26
52,"Vazquez, Williams and Woods",Seychelles,South Christopher,Production,Hydroélectrique,8131,144667.79025093978,370376.02796283097,814033.6281352184,386982.94487822655,161860.60716819638,3206,8.853294039001472,337061.9682632219,8082.631533422881,49.76347718591784,2012-06-19,2023-05-05,73.25,Partenariat,14.22
53,Arroyo-Young,Poland,Woodston,Exploration,Pétrole,4399,93124.24786174671,339006.38193751825,958316.7374726178,54504.327613223926,300857.8856291659,4218,3.653501543574036,350613.98953861016,622.0754092359361,74.24086340590388,2007-05-18,2023-07-17,84.82,Publique,96.76
54,Hall Ltd,Tonga,New Ashleyside,Raffinage,Hydroélectrique,383,264558.8047047399,132828.56825667078,977222.7918300746,404212.5862795096,160456.1559957633,3154,0.531216431321121,235864.00992279185,6457.253350647089,20.23383434507651,2020-12-06,2023-10-01,40.14,Publique,47.02
55,Hall-Rios,Guinea-Bissau,Craigport,Production,Pétrole,2665,402293.52542654105,95600.34464679434,309210.8862873222,454873.0991163456,38598.69402261259,1247,4.023992669591685,221982.23976804863,6659.599809397699,67.7419767135093,2016-11-24,2023-12-24,50.9,Partenariat,68.21
56,"Thomas, Kelly and Donovan",Tunisia,Port Marybury,Distribution,Gaz,601,308112.5998338665,166528.9471299473,287399.3192676591,268095.05571858,485560.9866033335,4114,3.540532221441378,306107.0525928498,2312.303031709395,31.972979678372035,1999-11-10,2023-10-27,67.03,Partenariat,28.9
57,"Kemp, Vaughn and Mathews",Guam,Anthonyville,Exploration,Solaire,9733,440652.326044026,455806.6877878194,929468.4741597732,197408.3764276133,472665.32613453234,1936,0.6104711675464902,183608.93701225577,4800.640801245741,84.33707882455312,2009-02-26,2023-11-07,85.76,Publique,49.77
58,Wilkerson-Mueller,Korea,Lawrenceview,Distribution,Éolien,8154,453616.8647409682,186556.53799822077,521384.5114348367,295103.25082405604,451049.5217934674,1607,3.502405781141087,246035.6428506047,7550.385397874862,12.45081349255523,2021-01-04,2023-08-15,51.37,Publique,87.31
59,Davidson-Johnson,Somalia,Rubenport,Distribution,Éolien,7516,97406.4697466564,231341.29501432137,424163.80777591583,54780.47742045876,94749.53620494295,3096,0.6517336634210502,279073.0424504228,4073.782629434597,81.04374994329845,2006-02-17,2023-04-11,7.58,Publique,70.55
60,Lopez PLC,Japan,Brownville,Raffinage,Hydroélectrique,641,322972.62602931395,257602.14949987747,169941.2787176752,279290.5674728829,369601.9062834176,4157,4.394712739382581,374782.8118971485,1817.1232075499,78.73807358908519,2017-12-31,2023-05-15,80.59,Partenariat,44.88
61,Sanchez Ltd,Slovakia (Slovak Republic),East Stephanieland,Raffinage,Gaz,5475,385920.1269985457,591788.0540307072,142179.23288633066,152063.3885809505,175879.1998471548,1995,2.993042571017307,346987.68839498784,9935.329508226252,21.514052702439383,2014-07-10,2023-09-03,8.01,Privée,73.33
62,Aguilar-Porter,Swaziland,South John,Distribution,Éolien,8003,402336.0952163554,68353.96959517122,278451.3995801041,423411.620921059,484594.9888420981,3331,9.80843844394524,468588.11634347873,8197.248032072494,53.00902185042268,2004-10-26,2023-04-04,11.28,Privée,31.43
63,"Wang, Davis and Pratt",Thailand,Harrisborough,Renouvelables,Éolien,6265,474714.3548724226,519467.1144342903,652906.1498484695,340868.1395057377,483568.8365866839,717,7.197980656670636,422433.35265298747,9792.964774135617,96.43615135738816,2006-07-21,2023-10-20,1.28,Partenariat,43.08
64,Fisher Inc,Ghana,Donaldsonview,Renouvelables,Hydroélectrique,2281,317925.801344217,415535.2501651792,478355.9124420559,253879.23478449715,237793.13718709836,2297,4.941610690495049,161463.3362594837,3228.0061166337405,17.18131251454896,2017-04-11,2023-08-20,65.94,Partenariat,59.4
65,Graham Inc,Central African Republic,East Ryan,Raffinage,Pétrole,573,152522.7988893591,253151.0029683551,577215.8654866435,168201.1801192772,-35917.73317038674,3728,1.9967336642794264,211601.73702670916,4998.167966177504,18.745716558773303,1997-08-31,2023-11-25,76.97,Privée,26.28
66,"Trujillo, Soto and Chambers",Georgia,Martinezview,Exploration,Pétrole,2208,370413.2636990348,207819.2564274914,970861.7060305896,203922.5483359267,10737.40975453519,2047,4.471567345984646,391666.1251926575,7779.060751651999,60.025975953730224,2019-03-09,2023-02-16,65.49,Publique,89.71
67,"Wallace, Shaw and Chan",Niger,Laurashire,Renouvelables,Gaz,5453,351079.8573694068,552607.4104348063,332104.6875409054,61985.44747405114,442160.3885774976,744,7.0406322529729,313042.9408451152,6733.998126158457,53.69094744441858,1994-04-24,2023-03-29,24.36,Publique,78.64
68,Harris PLC,Slovenia,East Jamesstad,Production,Éolien,6030,295600.6747183516,386546.7873727504,687971.9735604642,152842.41122207022,236020.45588948124,2359,1.020284732169503,330940.755114524,857.8512516448916,61.13792080613096,2010-01-23,2023-08-06,86.16,Privée,72.66
69,Hall and Sons,Congo,Lisachester,Production,Pétrole,8209,477887.23274881934,514301.4955844261,299117.59939389455,141717.5544512024,343486.812024237,3009,8.19796006986815,85202.00620540268,5558.507582305855,50.190555752886574,2010-04-19,2023-11-15,18.16,Publique,37.87
70,Stone Inc,Djibouti,West Kyle,Exploration,Gaz,5941,231924.37387200503,210160.12700629875,876072.5304862477,319199.7045312057,301922.0534700609,203,0.6703460143378959,14478.234624326184,4097.9100735910815,10.017461167889548,2010-05-14,2023-12-19,45.24,Partenariat,55.64
71,"Ortega, Solis and Perez",Honduras,Suzanneville,Renouvelables,Éolien,5944,208254.9999902933,123268.4140566252,891299.359098479,415056.51693559374,120330.95766186764,1243,5.9431548892973804,351342.6574364875,1109.427793868782,84.84691112306372,1999-02-12,2023-04-17,59.74,Privée,6.71
72,Cooper and Sons,Suriname,North Justinfurt,Raffinage,Pétrole,1610,486575.8215491108,344984.68510034354,556361.3927404577,452201.3335750008,-43075.65249246972,2435,1.4187037491456644,172249.3248586036,6693.780584311374,33.5593958761804,1999-11-17,2023-11-25,11.18,Privée,34.42
73,Rodriguez Group,Bahamas,Clarkstad,Raffinage,Pétrole,9230,489268.3376076168,118349.2566029198,352471.3744287284,249842.0813356037,249407.4614423501,3913,3.444721970079603,333880.3518391806,6548.642096722152,87.2663835277177,2017-12-11,2023-02-14,76.75,Publique,58.96
74,Green-Brown,Samoa,North Jamesville,Production,Pétrole,3307,98262.33391749692,476879.05251659534,778619.28283738,151579.49799763743,465407.57514851965,1036,7.608985850152154,129938.9182478333,1184.7711963990166,32.313136825267904,2008-01-17,2023-11-23,63.84,Partenariat,36.32
75,Rodriguez and Sons,Azerbaijan,Lake Williamstad,Distribution,Pétrole,6168,172838.32500908247,289829.28907116374,667195.5903685143,277846.2438041273,497654.1345994484,1033,4.902564372615319,421488.724204705,3732.4472404105145,98.13149383251348,2008-05-30,2023-02-27,95.68,Privée,3.3
76,Downs PLC,Guernsey,Erinport,Exploration,Solaire,9055,323555.3308300119,148486.47639925755,925226.7176358544,50074.64852363947,295323.38853701943,2101,8.112546501424308,182927.13356819568,3795.4055786383487,81.44565325840567,1998-01-25,2023-04-30,64.08,Partenariat,71.86
77,"Larsen, Russell and Cummings",Lesotho,Vegahaven,Distribution,Pétrole,9148,260149.2149507604,491092.710495334,843369.2367796673,107849.73439484782,52561.4339323389,2148,9.821545531974476,453620.8445326097,2073.1598796696007,25.32473554215144,2007-10-08,2023-01-05,48.19,Privée,62.31
78,Galloway Group,China,Kristenchester,Exploration,Gaz,3478,372861.0862940496,155114.9914901824,491919.3564812796,438658.2627126876,64856.00332157219,1228,8.368566543788338,120981.75622470492,5597.401853881647,18.11564428835549,2009-07-23,2023-02-18,44.1,Publique,23.84
79,"Ramirez, Carey and Wiley",Armenia,West Paige,Raffinage,Pétrole,3895,446123.5410223513,387373.2093464181,816191.1234602781,280397.2630770453,316386.0434199382,4011,9.943545062599618,375338.3936094932,3807.320933078396,47.15501124165434,2002-05-23,2023-08-22,39.46,Publique,77.03
80,Johnson Inc,Ghana,Markfurt,Raffinage,Éolien,5180,185633.81624985373,206947.9183032524,876825.1213194287,367773.2010278197,-26992.001336716043,2939,3.044621095922493,478848.8896832864,1844.2956879122053,46.53227846508777,2011-12-29,2023-10-15,33.68,Publique,46.95
81,Romero-Patterson,Reunion,Morrisonport,Distribution,Éolien,223,236993.81422040355,520161.9254336941,624174.730417062,438015.7440074951,311936.1330489746,4378,1.897941354371816,387755.3494435386,7666.122350026496,46.65411384675533,2010-06-18,2023-08-28,14.63,Partenariat,50.22
82,Smith-Carlson,Tunisia,Martinezburgh,Production,Éolien,1415,170425.67801475688,94014.01390334604,306203.84013863123,274355.94698152936,-12260.71971614848,2784,6.1186854528999,244018.3127665872,8498.614430438074,98.96701785078676,2003-09-14,2023-01-15,4.52,Privée,39.03
83,"Wright, Williams and Austin",Costa Rica,Nathanport,Production,Éolien,4872,122364.20622903496,524240.1678844324,918440.1762822968,319356.52428301325,372073.7853578837,2035,4.181025653896412,105234.5405994867,8724.430483749518,29.76348137018033,2002-11-28,2023-04-09,9.05,Partenariat,58.67
84,Atkins Inc,Argentina,Floydstad,Production,Pétrole,2846,453706.732808574,494944.0619569088,156180.13864134354,405335.287344233,69678.63074975673,1817,2.331488636188128,69281.53054525435,6125.940514057164,78.02362487266839,2012-04-16,2023-10-27,25.64,Partenariat,41.26
85,Hester Ltd,Botswana,Tinashire,Production,Gaz,2771,481585.29253605823,325947.8579995407,589457.6837005408,255974.1183090762,430154.7139812558,4638,5.872374968566087,186153.7592130781,5558.215510842292,49.17085926894835,2020-01-24,2023-05-04,39.8,Publique,25.38
86,Ballard-Potter,Benin,East Jacobview,Production,Gaz,3203,281589.7794791064,142184.6899838398,354434.3452005462,377325.6541827204,34892.72440245445,2018,8.738695654028923,443845.3056039063,6722.603100461959,62.927910013751394,2004-04-04,2023-11-20,5.98,Privée,57.53
87,Palmer and Sons,Bulgaria,New Monique,Distribution,Solaire,2249,416400.8281485294,512738.1969149825,485638.7401320101,218198.04887436188,450157.0524592297,346,0.9714998303172052,163742.68612620074,2239.6858875136763,57.41683182263096,2002-11-19,2023-04-18,50.5,Partenariat,24.35
88,Thompson-Pena,Ghana,Kennedyside,Production,Pétrole,5972,452750.6602027303,89533.31416997775,822329.330201369,153603.6388256917,43723.05271299429,3561,9.95842707894227,191566.26478964865,9269.748131892176,75.89726102303908,2009-12-23,2023-11-06,76.6,Partenariat,8.36
89,Alexander-Ryan,Cameroon,Lake Jonathanburgh,Renouvelables,Solaire,9077,176419.987268523,593996.9382962417,859397.1439824044,428231.37324453855,442164.8741033381,938,0.3115960590269706,403503.47569472657,8216.348985284807,27.28224983559925,2006-09-09,2023-08-16,71.92,Privée,42.48
90,Nelson-Reeves,Liechtenstein,West Tamara,Distribution,Éolien,4916,464766.3950783802,585525.1117802019,225719.8229003918,172144.70975843148,198851.04844815543,4646,5.412167596467697,126630.30032005504,7608.461098179169,17.60937335150399,2006-06-08,2023-02-23,26.89,Partenariat,21.77
91,Gardner and Sons,Nepal,Davidville,Renouvelables,Solaire,3403,348959.77626499574,205526.3073554015,114894.35511995367,157280.44765259651,328567.92211630376,807,9.94128258836444,250554.456128306,7306.114148448647,79.03702702193107,2023-11-15,2023-06-09,16.13,Partenariat,92.59
92,"Ferguson, Ross and Smith",Timor-Leste,North Leahville,Raffinage,Solaire,4911,395306.8606940869,76715.73463044385,634322.6870342118,256793.64197937108,217721.4213764075,2139,7.124072446960097,361875.0416790697,3037.336089300792,84.10788153753532,2017-02-14,2023-03-07,95.0,Partenariat,86.72
93,Edwards Group,Korea,North Chadfort,Production,Éolien,4922,441026.77505312464,95980.4138691238,863354.2612769562,209755.25205394183,244732.5396702996,4819,2.1748385934005587,106629.60264205282,9826.872768897758,21.44655703661315,1996-03-17,2023-04-12,71.94,Publique,68.11
94,Diaz Ltd,Norway,West Sara,Raffinage,Pétrole,1908,342111.7377901899,147774.04509895417,678413.3461748528,63793.54720860091,237866.09108028107,3513,1.70626592703219,328298.7768597026,1123.9914409359212,64.71317926033723,2004-07-25,2023-10-12,95.63,Publique,58.7
95,"Williams, Castro and Smith",Zimbabwe,Port Stefanie,Distribution,Éolien,6125,158720.09808714077,130272.58408554208,996369.1783149984,60725.1843756617,490298.892095695,344,6.731958171313661,479926.04894013744,2434.923457193487,11.34441105054926,2003-10-19,2023-08-10,42.54,Publique,56.24
96,"Lopez, Bean and Lyons",Wallis and Futuna,West Walterhaven,Distribution,Hydroélectrique,8055,191836.73458299032,158341.5275852622,315527.0132996393,150645.4021271736,248400.84501088396,1537,3.237290108165408,134429.72293331305,556.7269727968037,75.7399081064019,2021-03-27,2023-02-01,47.16,Partenariat,98.14
97,"Simpson, Escobar and Wyatt",Saudi Arabia,North Debbiestad,Exploration,Éolien,6404,168308.86863842263,210268.3566335306,308018.97116852825,459933.8600631928,77692.25512484775,4202,5.744831331235753,462008.1665502119,6888.721660753668,74.85192014441667,1997-04-29,2023-11-07,53.86,Privée,29.69
