ID_Client,Pays,TypeAbonnement,AppareilPrincipal,StatutCompte,GenrePrefere,ModePaiement,LanguePreferee,DateInscription,DateDernierPaiement,DateDebutAbonnement,DateFinAbonnement,DureeTotaleVisionnage,NombreConnexionsMois,MontantDernierPaiement,AgeUtilisateur,NombreFilmsRegardes,NombreEpisodesRegardes
22,Japon,Basic,Tablette,Annulé,Horreur,PayPal,Français,2021-11-17,2021-12-15,2023-04-09,2023-11-19,4895,24,14.87,54,27,50
23,France,Premium,PC,Actif,Action,Carte de crédit,Espagnol,2023-03-21,2021-07-27,2022-05-14,2022-05-19,364,3,11.0,63,52,253
24,Inde,Premium,Mobile,Annulé,Sci-Fi,PayPal,Espagnol,2018-07-21,2020-02-14,2016-04-01,2020-04-10,1858,51,13.54,69,16,47
25,Brésil,Premium,PC,Suspendu,Documentaire,Carte de crédit,Allemand,2019-12-24,2018-03-10,2023-12-17,2024-03-02,4473,81,12.14,26,29,281
26,France,Basic,Tablette,Actif,Action,Chèque,Allemand,2023-07-01,2023-08-19,2020-03-24,2020-12-24,4719,33,8.21,66,97,121
27,Allemagne,Premium,TV,Actif,Drame,Carte de crédit,Hindi,2019-07-28,2023-12-02,2022-02-13,2022-05-31,1450,15,12.49,35,59,130
28,Japon,Basic,Tablette,Annulé,Sci-Fi,Chèque,Espagnol,2016-02-27,2017-06-05,2021-10-20,2022-05-09,4412,87,13.0,57,36,255
29,France,Standard,Tablette,Suspendu,Drame,Chèque,Français,2020-02-24,2016-04-16,2021-08-07,2022-04-12,808,38,8.91,54,40,55
30,Japon,Premium,Mobile,Suspendu,Comédie,PayPal,Anglais,2016-02-11,2022-04-26,2016-03-15,2021-10-16,754,68,7.95,56,54,26
31,Inde,Standard,Mobile,Actif,Documentaire,Carte de crédit,Français,2015-06-27,2021-05-14,2016-04-16,2021-11-27,79,76,12.15,48,72,121
32,USA,Basic,Mobile,Actif,Documentaire,PayPal,Japonais,2019-06-27,2020-12-21,2021-12-01,2022-01-23,1913,89,12.01,72,66,9
33,USA,Premium,Tablette,Suspendu,Drame,Virement,Anglais,2019-04-21,2016-09-17,2021-01-16,2021-10-04,2643,91,11.28,32,88,246
34,Inde,Standard,TV,Annulé,Documentaire,Carte de crédit,Allemand,2016-04-17,2017-05-27,2015-11-13,2017-02-12,4081,75,14.5,24,30,35
35,Inde,Basic,Tablette,Actif,Action,PayPal,Français,2016-08-08,2017-06-03,2023-04-24,2023-11-19,2710,17,13.19,54,88,128
36,France,Premium,Tablette,Suspendu,Horreur,Virement,Anglais,2017-11-08,2016-02-06,2020-05-09,2023-03-24,1805,98,7.34,34,84,130
37,Japon,Standard,Mobile,Suspendu,Horreur,Chèque,Espagnol,2023-08-05,2021-03-04,2023-06-09,2024-04-06,4836,71,14.5,56,90,208
38,Japon,Standard,Tablette,Annulé,Documentaire,PayPal,Anglais,2019-09-25,2015-10-24,2018-04-26,2021-01-04,3647,28,14.08,40,49,25
39,Allemagne,Basic,Mobile,Annulé,Comédie,Chèque,Japonais,2016-11-09,2023-01-29,2018-02-19,2019-08-28,493,95,15.18,70,95,39
40,USA,Standard,PC,Suspendu,Documentaire,Chèque,Japonais,2017-03-12,2015-02-02,2019-01-14,2019-12-28,707,46,8.95,39,72,13
41,Inde,Basic,Tablette,Actif,Sci-Fi,Chèque,Allemand,2022-12-29,2023-10-25,2021-04-12,2021-11-07,3460,93,14.42,40,78,86
42,Allemagne,Premium,TV,Actif,Documentaire,Virement,Allemand,2016-01-25,2020-03-27,2019-09-18,2020-01-29,554,69,12.49,71,64,131
43,Allemagne,Basic,Mobile,Actif,Action,Chèque,Hindi,2016-10-14,2018-10-03,2021-04-21,2021-12-16,4349,60,7.36,64,24,77
44,Brésil,Standard,Mobile,Suspendu,Action,Carte de crédit,Japonais,2023-09-15,2023-11-08,2015-11-30,2020-07-16,1213,98,10.23,39,50,100
45,Canada,Premium,TV,Annulé,Action,Chèque,Allemand,2022-04-12,2016-01-22,2017-11-17,2018-04-01,4366,78,12.48,30,67,31
46,Inde,Premium,Tablette,Actif,Comédie,Virement,Hindi,2022-05-11,2015-09-11,2017-11-27,2018-11-07,3489,14,8.68,36,84,272
47,Brésil,Premium,Tablette,Suspendu,Sci-Fi,Chèque,Hindi,2021-12-17,2020-02-24,2018-09-17,2021-11-14,1011,15,7.62,42,30,284
48,Inde,Standard,PC,Annulé,Documentaire,Chèque,Hindi,2021-10-12,2018-04-08,2017-06-18,2023-06-07,2533,45,10.42,35,17,44
49,France,Premium,Mobile,Actif,Horreur,Carte de crédit,Hindi,2021-06-24,2018-03-25,2015-02-19,2016-07-21,1557,78,14.98,47,97,296
50,Brésil,Basic,TV,Annulé,Sci-Fi,PayPal,Anglais,2022-12-10,2023-08-14,2015-10-06,2018-09-19,2901,75,15.5,54,96,53
51,Inde,Premium,TV,Actif,Comédie,Virement,Anglais,2015-12-31,2018-03-23,2021-09-19,2022-07-05,1066,77,7.75,73,42,149
52,Japon,Standard,Mobile,Actif,Documentaire,Carte de crédit,Français,2015-03-05,2019-11-08,2021-02-23,2021-02-24,1950,38,14.46,53,38,38
53,France,Standard,Mobile,Suspendu,Comédie,Virement,Japonais,2022-02-02,2015-10-22,2019-03-05,2019-07-16,1543,23,6.19,40,97,299
54,France,Premium,Mobile,Annulé,Action,Carte de crédit,Japonais,2018-10-26,2017-01-07,2021-12-28,2022-03-06,1662,45,6.05,29,74,8
55,France,Basic,Mobile,Annulé,Drame,Carte de crédit,Hindi,2022-01-07,2017-03-27,2015-10-04,2016-09-20,3624,71,14.94,41,90,43
56,Japon,Premium,Tablette,Actif,Sci-Fi,Chèque,Espagnol,2017-06-16,2015-04-10,2019-11-17,2020-06-18,2229,69,15.19,39,13,72
57,Canada,Basic,Tablette,Actif,Documentaire,Carte de crédit,Allemand,2023-08-31,2018-02-05,2021-09-21,2022-01-21,3013,72,15.65,39,91,292
58,Allemagne,Premium,Tablette,Actif,Horreur,PayPal,Anglais,2022-06-09,2022-06-28,2016-12-15,2023-05-22,4764,75,9.18,40,54,270
59,USA,Basic,Mobile,Annulé,Horreur,PayPal,Japonais,2018-10-23,2017-01-26,2022-08-31,2023-10-18,3262,5,7.25,69,84,272
60,Japon,Standard,Tablette,Annulé,Comédie,Chèque,Hindi,2016-10-31,2023-07-21,2021-12-21,2022-10-06,3841,95,10.31,52,79,6
61,Canada,Basic,Mobile,Suspendu,Comédie,Chèque,Anglais,2021-10-11,2020-08-18,2019-01-21,2019-08-21,825,80,13.52,35,90,236
62,Allemagne,Premium,PC,Actif,Horreur,Chèque,Français,2017-01-22,2016-05-27,2017-02-27,2017-09-19,1962,69,12.16,55,76,135
63,France,Standard,Mobile,Suspendu,Drame,Carte de crédit,Anglais,2021-12-27,2022-01-28,2022-03-20,2023-10-09,3364,43,11.7,27,75,94
64,Japon,Standard,PC,Suspendu,Sci-Fi,Chèque,Hindi,2017-07-13,2015-07-08,2021-04-16,2021-10-25,1786,51,12.79,50,54,211
65,Brésil,Basic,TV,Annulé,Sci-Fi,Chèque,Japonais,2020-08-25,2021-01-14,2017-11-16,2023-03-09,1063,88,12.02,47,25,67
66,Inde,Basic,Mobile,Annulé,Sci-Fi,Virement,Espagnol,2015-06-06,2018-02-27,2021-11-20,2022-02-23,3178,51,13.21,26,79,269
67,Japon,Basic,Mobile,Annulé,Horreur,PayPal,Japonais,2022-11-30,2018-04-05,2023-03-08,2023-09-11,1058,97,10.74,42,44,30
68,France,Basic,PC,Actif,Horreur,Chèque,Hindi,2022-05-13,2017-05-18,2019-01-09,2023-09-13,1456,16,15.57,61,81,286
69,France,Standard,Mobile,Actif,Comédie,Virement,Allemand,2020-08-27,2017-09-16,2016-04-15,2017-04-16,2111,98,9.63,62,3,87
70,Brésil,Basic,PC,Annulé,Action,Virement,Espagnol,2023-06-18,2018-04-02,2018-10-02,2021-03-11,4893,45,12.07,40,67,208
71,Japon,Standard,TV,Actif,Action,Carte de crédit,Anglais,2021-07-20,2018-12-17,2020-12-18,2021-08-20,4958,96,11.68,28,21,34
72,Brésil,Basic,TV,Annulé,Documentaire,Chèque,Espagnol,2021-02-24,2022-05-12,2015-05-15,2015-09-05,1601,46,10.33,41,89,255
73,Japon,Premium,Mobile,Suspendu,Drame,Chèque,Allemand,2016-01-05,2021-01-27,2016-08-04,2016-10-08,1139,49,15.02,21,23,172
74,Inde,Basic,PC,Actif,Sci-Fi,Virement,Espagnol,2018-04-06,2022-07-01,2019-07-14,2021-08-22,2028,75,9.17,34,33,95
75,Canada,Premium,TV,Annulé,Drame,PayPal,Japonais,2018-03-09,2019-04-13,2019-01-08,2022-12-30,1996,33,14.13,41,20,12
76,France,Basic,PC,Suspendu,Action,Virement,Japonais,2023-07-10,2018-01-01,2018-03-19,2018-05-20,926,28,12.64,69,58,134
77,Allemagne,Basic,TV,Annulé,Sci-Fi,Virement,Anglais,2015-01-20,2020-11-07,2016-07-23,2017-12-21,3784,82,9.85,61,6,94
78,USA,Standard,Mobile,Suspendu,Action,Chèque,Allemand,2020-05-12,2015-11-15,2021-07-20,2022-04-01,2193,28,14.7,36,98,196
79,Inde,Standard,TV,Suspendu,Comédie,PayPal,Hindi,2018-07-20,2016-04-05,2022-07-08,2023-02-25,4603,54,14.62,21,32,48
80,USA,Premium,Mobile,Actif,Comédie,Carte de crédit,Allemand,2019-10-12,2020-01-31,2021-04-13,2022-10-14,1780,62,13.7,46,48,223
81,Canada,Standard,PC,Annulé,Sci-Fi,Chèque,Japonais,2015-02-24,2017-07-02,2021-08-18,2022-08-05,1873,77,11.91,55,45,155
82,Canada,Standard,Mobile,Annulé,Horreur,Virement,Anglais,2018-02-20,2021-02-04,2015-07-30,2018-04-21,3275,87,8.9,61,58,275
83,USA,Standard,PC,Suspendu,Action,Virement,Japonais,2023-07-22,2022-12-25,2023-07-31,2023-08-19,1290,46,6.08,36,44,7
84,Allemagne,Premium,PC,Annulé,Action,Virement,Hindi,2021-06-14,2023-11-10,2022-12-07,2023-11-21,799,59,15.91,19,77,258
85,Japon,Standard,Mobile,Suspendu,Drame,Chèque,Allemand,2018-05-30,2019-07-21,2015-11-07,2022-04-28,2287,42,11.01,43,3,80
86,Brésil,Premium,PC,Actif,Action,Chèque,Espagnol,2023-06-04,2015-03-18,2019-10-26,2020-01-18,265,16,12.03,51,94,62
87,Canada,Standard,Tablette,Annulé,Horreur,Carte de crédit,Espagnol,2022-02-03,2022-03-28,2021-01-10,2021-05-21,4388,35,12.47,48,83,140
88,Japon,Premium,Mobile,Actif,Comédie,Chèque,Hindi,2019-10-22,2017-04-06,2023-05-10,2023-10-19,1365,73,7.79,65,5,14
89,Japon,Standard,PC,Suspendu,Action,PayPal,Français,2022-01-06,2018-05-21,2017-01-28,2019-07-20,999,12,9.95,56,62,229
90,Inde,Basic,PC,Annulé,Comédie,PayPal,Hindi,2017-02-14,2023-08-20,2020-11-14,2021-11-12,3337,73,6.4,40,17,272
91,Brésil,Standard,Tablette,Actif,Action,Virement,Anglais,2018-07-20,2015-01-07,2020-09-26,2020-11-10,1556,21,11.83,53,47,99
92,France,Basic,Tablette,Actif,Sci-Fi,PayPal,Français,2017-09-04,2021-04-28,2021-05-08,2021-07-18,4767,70,12.96,31,16,10
93,Japon,Standard,Mobile,Actif,Documentaire,Carte de crédit,Anglais,2019-12-23,2016-12-05,2018-10-16,2021-05-11,1602,71,11.76,54,3,164
94,Japon,Basic,PC,Actif,Sci-Fi,Chèque,Allemand,2021-06-10,2019-01-14,2019-12-29,2021-06-20,2894,68,10.54,69,6,215
95,France,Standard,Mobile,Suspendu,Sci-Fi,Chèque,Hindi,2020-01-26,2022-12-20,2017-07-06,2020-09-12,4137,93,12.05,36,7,11
96,Allemagne,Basic,Tablette,Suspendu,Drame,Chèque,Anglais,2017-11-10,2020-08-22,2018-10-07,2023-08-18,128,79,14.2,31,68,294
97,Japon,Basic,Tablette,Suspendu,Action,Virement,Hindi,2021-04-26,2017-11-07,2019-02-10,2019-08-08,2958,25,8.47,44,46,20
98,Inde,Premium,Mobile,Actif,Horreur,Chèque,Hindi,2023-04-08,2023-07-15,2015-12-04,2019-09-09,4638,75,8.38,58,63,109
99,Canada,Premium,PC,Actif,Documentaire,PayPal,Hindi,2016-07-16,2018-05-04,2023-07-25,2024-04-24,2567,25,12.18,63,70,58
100,Inde,Standard,PC,Actif,Horreur,PayPal,Espagnol,2016-12-09,2020-07-02,2018-11-14,2019-02-20,542,8,8.45,46,58,283
101,Allemagne,Basic,TV,Actif,Documentaire,Chèque,Hindi,2018-01-14,2017-03-06,2019-12-19,2020-12-02,962,85,7.41,59,42,228
102,Japon,Basic,Tablette,Annulé,Horreur,Carte de crédit,Anglais,2018-08-13,2021-09-25,2016-04-02,2018-09-02,2197,91,9.11,72,41,90
103,Canada,Standard,PC,Suspendu,Horreur,PayPal,Hindi,2020-01-14,2023-06-04,2017-06-01,2021-02-04,551,38,11.42,38,92,49
104,Japon,Basic,Mobile,Suspendu,Drame,Virement,Anglais,2016-04-22,2018-09-19,2019-12-09,2023-08-11,1227,24,7.18,65,74,299
105,Allemagne,Standard,Mobile,Annulé,Documentaire,Chèque,Français,2021-04-25,2017-08-04,2017-01-09,2017-01-25,2762,41,10.67,52,92,268
106,France,Standard,TV,Suspendu,Sci-Fi,Carte de crédit,Espagnol,2016-09-01,2020-06-23,2019-04-29,2021-06-11,674,79,10.09,29,91,66
107,Allemagne,Premium,Tablette,Annulé,Sci-Fi,Chèque,Allemand,2022-08-26,2019-04-24,2018-05-20,2018-07-31,530,71,6.96,25,45,51
108,USA,Premium,TV,Annulé,Drame,Carte de crédit,Espagnol,2018-09-01,2020-10-16,2021-10-28,2022-04-08,3977,78,9.42,41,27,65
109,France,Premium,Tablette,Annulé,Horreur,Virement,Japonais,2015-06-02,2017-01-24,2022-08-07,2022-08-13,4434,4,14.51,38,46,238
110,Brésil,Premium,Tablette,Actif,Comédie,Chèque,Français,2021-10-15,2022-09-23,2016-09-22,2021-04-13,3029,86,11.48,50,59,145
111,Canada,Premium,PC,Suspendu,Horreur,Chèque,Japonais,2021-12-23,2022-08-13,2015-01-20,2018-04-09,2399,85,11.98,53,28,246
112,Brésil,Premium,Tablette,Actif,Comédie,Virement,Français,2021-01-11,2015-06-01,2022-04-01,2022-09-03,3861,40,13.3,53,20,269
113,Canada,Basic,Mobile,Annulé,Comédie,PayPal,Hindi,2015-05-10,2020-08-05,2021-10-24,2022-03-13,3845,40,7.08,56,55,13
114,Inde,Premium,TV,Annulé,Comédie,Carte de crédit,Japonais,2020-01-14,2016-02-01,2015-06-25,2022-05-24,2869,66,10.61,67,28,3
115,Canada,Standard,Mobile,Annulé,Sci-Fi,Carte de crédit,Japonais,2022-04-07,2019-08-18,2020-06-30,2022-04-27,3090,9,12.28,56,78,250
116,USA,Basic,TV,Suspendu,Comédie,Chèque,Français,2023-05-04,2017-07-21,2020-10-13,2023-03-31,1303,70,10.92,40,26,150
117,France,Basic,Tablette,Suspendu,Action,Carte de crédit,Hindi,2023-06-18,2022-07-29,2023-09-02,2024-06-24,694,72,12.1,47,2,163
118,Inde,Standard,TV,Suspendu,Drame,Virement,Français,2020-03-20,2022-04-04,2022-03-30,2022-06-05,283,62,10.01,44,2,165
119,Japon,Basic,Tablette,Actif,Comédie,Chèque,Allemand,2019-08-03,2018-09-24,2019-10-19,2019-11-01,3602,93,12.89,53,77,275
120,Allemagne,Premium,Tablette,Suspendu,Horreur,Chèque,Espagnol,2016-03-11,2016-09-22,2020-11-17,2021-01-14,4963,2,15.55,49,66,35
121,Brésil,Basic,Tablette,Suspendu,Action,PayPal,Japonais,2021-01-05,2023-03-14,2019-05-11,2020-02-29,1767,11,11.18,57,77,75
122,Canada,Basic,TV,Suspendu,Documentaire,PayPal,Espagnol,2020-05-23,2023-10-03,2019-06-05,2023-11-19,2499,81,6.89,74,44,133
123,France,Premium,PC,Suspendu,Horreur,Chèque,Allemand,2022-03-15,2018-08-27,2017-07-01,2017-07-25,1868,24,14.8,63,79,13
124,Japon,Basic,Mobile,Suspendu,Sci-Fi,Carte de crédit,Anglais,2021-07-04,2015-08-27,2019-03-28,2019-12-31,2423,68,8.9,26,12,22
125,Allemagne,Standard,TV,Actif,Action,PayPal,Anglais,2023-05-04,2019-05-25,2016-03-27,2022-04-30,2389,50,12.09,60,9,235
126,France,Premium,TV,Annulé,Action,Chèque,Hindi,2020-01-27,2018-10-02,2015-11-07,2018-02-10,3441,3,13.67,47,14,96
127,Canada,Standard,Mobile,Actif,Sci-Fi,Carte de crédit,Espagnol,2023-12-09,2020-07-31,2023-09-12,2023-09-12,29,41,10.36,23,94,266
128,Brésil,Standard,Mobile,Annulé,Sci-Fi,PayPal,Allemand,2018-10-25,2022-05-07,2017-11-28,2021-02-22,3084,91,7.82,36,43,132
129,Canada,Premium,Mobile,Annulé,Horreur,Chèque,Espagnol,2017-04-30,2016-08-27,2015-05-28,2018-05-02,4366,28,10.25,19,1,207
130,Inde,Standard,Mobile,Annulé,Comédie,Carte de crédit,Français,2021-09-29,2020-01-30,2017-09-30,2020-11-25,3232,55,8.86,74,5,26
131,Inde,Premium,Mobile,Actif,Drame,Virement,Anglais,2016-04-24,2021-02-04,2022-08-05,2023-05-25,4523,55,12.04,46,53,100
132,Inde,Premium,PC,Actif,Comédie,Virement,Français,2020-04-22,2021-04-25,2019-08-01,2020-01-25,3488,96,7.01,65,92,2
133,Canada,Standard,TV,Actif,Horreur,Chèque,Allemand,2015-11-18,2015-09-13,2019-11-07,2020-07-18,1830,22,10.49,73,19,173
134,USA,Standard,Tablette,Annulé,Sci-Fi,Virement,Anglais,2022-04-27,2015-12-15,2016-06-13,2016-07-26,2187,76,10.05,27,22,120
135,Inde,Basic,TV,Suspendu,Horreur,PayPal,Japonais,2021-12-20,2023-08-20,2021-11-21,2022-10-16,1113,35,13.02,44,37,282
136,Allemagne,Standard,Tablette,Annulé,Drame,Chèque,Anglais,2015-02-18,2015-08-03,2018-12-22,2019-06-12,1338,86,11.14,18,54,271
137,Japon,Standard,TV,Actif,Documentaire,Virement,Anglais,2017-08-17,2020-01-28,2022-01-28,2022-11-30,4941,85,11.68,71,42,201
138,Inde,Basic,Mobile,Annulé,Horreur,Virement,Français,2022-08-17,2020-09-03,2023-03-25,2023-09-10,4386,17,15.93,34,0,28
139,Allemagne,Premium,PC,Suspendu,Drame,Chèque,Anglais,2022-08-21,2015-02-22,2015-09-02,2018-10-14,2989,72,7.54,56,35,287
140,Allemagne,Standard,Mobile,Actif,Documentaire,Chèque,Français,2018-04-22,2016-07-22,2016-07-02,2017-10-13,328,56,7.47,55,10,151
141,Canada,Basic,TV,Actif,Horreur,Chèque,Japonais,2019-06-21,2017-04-10,2017-01-04,2017-03-28,3829,95,12.66,42,48,122
142,Japon,Basic,TV,Actif,Documentaire,Carte de crédit,Espagnol,2016-07-03,2019-08-24,2020-02-10,2020-07-23,2494,22,7.24,57,73,195
143,USA,Premium,PC,Suspendu,Sci-Fi,Chèque,Espagnol,2019-11-17,2020-05-22,2018-02-14,2018-02-28,3072,16,9.76,30,56,96
144,USA,Standard,PC,Actif,Comédie,Carte de crédit,Anglais,2016-10-05,2020-12-28,2019-10-20,2020-09-05,1451,74,11.34,19,23,154
145,Canada,Basic,Tablette,Actif,Horreur,Virement,Français,2019-12-19,2019-01-10,2016-08-20,2022-11-28,2077,17,9.33,40,61,151
146,Brésil,Standard,PC,Annulé,Documentaire,PayPal,Allemand,2015-08-29,2023-03-28,2016-09-11,2023-04-23,2876,95,7.35,51,6,182
147,Japon,Standard,PC,Annulé,Drame,PayPal,Français,2023-06-06,2022-10-11,2022-01-25,2022-10-27,685,60,8.09,38,74,105
148,Inde,Premium,TV,Actif,Drame,Chèque,Anglais,2017-05-31,2019-11-02,2023-05-13,2024-02-08,2157,19,11.86,71,23,20
149,Allemagne,Standard,TV,Actif,Sci-Fi,Virement,Hindi,2023-07-09,2021-07-12,2015-12-16,2016-04-20,1199,21,13.4,39,45,145
150,Allemagne,Basic,Tablette,Annulé,Sci-Fi,Carte de crédit,Anglais,2022-04-14,2020-07-10,2020-10-23,2022-08-26,3626,35,8.25,36,94,184
151,USA,Basic,PC,Suspendu,Action,Virement,Japonais,2020-07-05,2015-10-31,2021-09-29,2022-02-25,2721,91,12.42,50,4,54
152,Inde,Standard,PC,Annulé,Drame,Carte de crédit,Anglais,2021-08-11,2021-08-22,2017-01-15,2018-04-21,900,95,7.86,60,31,35
153,Japon,Basic,TV,Actif,Action,PayPal,Français,2020-09-30,2015-09-23,2017-06-11,2023-02-10,2079,1,12.13,51,3,142
154,France,Premium,Tablette,Annulé,Sci-Fi,PayPal,Japonais,2020-07-14,2015-06-15,2022-03-24,2022-10-29,4505,84,15.86,54,0,135
155,Inde,Standard,PC,Actif,Horreur,Virement,Espagnol,2018-06-20,2022-09-17,2022-12-24,2023-06-26,4459,1,6.17,34,70,289
156,Inde,Standard,TV,Annulé,Horreur,Chèque,Japonais,2021-05-24,2015-02-22,2018-08-16,2020-07-05,1336,45,13.17,73,36,47
157,Brésil,Basic,TV,Actif,Comédie,Carte de crédit,Allemand,2018-09-11,2018-09-20,2021-10-26,2022-04-23,2159,3,14.03,45,29,102
158,Allemagne,Standard,PC,Suspendu,Action,Virement,Français,2022-10-28,2021-11-10,2020-08-26,2021-03-19,3575,89,11.83,35,37,4
159,Japon,Basic,PC,Suspendu,Documentaire,PayPal,Espagnol,2021-04-12,2021-07-09,2019-01-14,2022-04-27,3677,35,6.99,49,94,295
160,Brésil,Standard,TV,Actif,Horreur,Carte de crédit,Hindi,2015-08-18,2023-11-12,2018-10-06,2021-05-20,4105,50,11.08,74,26,18
161,Canada,Premium,Tablette,Suspendu,Drame,Chèque,Allemand,2020-03-11,2020-12-18,2016-03-08,2022-12-12,4422,84,8.12,31,93,114
162,USA,Standard,Tablette,Actif,Comédie,Chèque,Japonais,2017-10-28,2023-11-18,2022-01-24,2022-10-30,2614,15,12.11,62,74,49
163,Brésil,Standard,Tablette,Suspendu,Documentaire,Chèque,Hindi,2019-03-13,2018-05-29,2020-09-27,2021-02-01,3936,42,7.23,69,79,298
164,Inde,Standard,PC,Suspendu,Sci-Fi,Carte de crédit,Japonais,2019-07-09,2018-10-16,2016-01-14,2016-02-23,2672,99,6.72,37,53,286
165,Brésil,Standard,Tablette,Annulé,Action,Chèque,Français,2023-05-01,2021-01-09,2021-04-27,2022-08-07,4374,5,6.46,40,68,74
166,USA,Standard,TV,Actif,Action,Virement,Allemand,2015-01-31,2023-09-18,2017-08-06,2017-12-28,2063,55,15.31,21,11,299
167,USA,Premium,TV,Annulé,Action,Chèque,Hindi,2022-11-10,2022-10-25,2023-11-07,2023-12-28,1369,82,7.57,53,17,31
168,Canada,Standard,PC,Actif,Action,PayPal,Français,2022-07-25,2016-01-07,2019-02-18,2021-04-18,3933,32,13.73,48,43,298
169,USA,Standard,PC,Actif,Documentaire,PayPal,Allemand,2020-06-05,2020-03-27,2016-07-09,2021-06-09,4111,54,6.5,73,24,299
170,Inde,Premium,Tablette,Suspendu,Horreur,PayPal,Anglais,2021-05-19,2016-06-22,2017-03-23,2019-02-23,1595,96,10.92,48,65,75
171,Canada,Premium,PC,Annulé,Sci-Fi,Virement,Japonais,2021-06-17,2022-02-09,2020-01-06,2020-10-01,3340,14,10.75,66,31,14
172,Inde,Standard,PC,Annulé,Horreur,Chèque,Allemand,2022-05-29,2017-02-21,2021-05-23,2023-08-05,575,53,13.58,65,18,78
173,Allemagne,Premium,Tablette,Annulé,Documentaire,Virement,Espagnol,2023-07-22,2023-06-11,2016-09-16,2017-04-17,42,32,6.43,18,57,204
174,Japon,Basic,Mobile,Annulé,Drame,PayPal,Espagnol,2022-12-24,2016-03-08,2023-08-23,2024-06-26,3270,19,6.95,74,90,7
175,France,Premium,Mobile,Actif,Horreur,PayPal,Anglais,2022-02-14,2022-01-10,2015-10-03,2021-03-19,2502,18,7.5,52,56,190
176,Allemagne,Standard,Mobile,Annulé,Drame,PayPal,Français,2018-02-03,2017-06-09,2021-04-20,2021-11-13,4497,70,6.29,31,33,151
