ID_Trajet,ID_Chauffeur,ID_Client,Date_Heure,Prix,Distance,Temps_Trajet,Type_Trajet,Conditions_Traffic,Notes_Client,Nombre_Passagers
21,479,85,2023-06-06 03:07:29,31.336336016550273,11.85,0 days 10:06:00,UberBlack,Elevé,,3
22,198,784,2023-10-31 17:25:31,26.84082789603251,10.15,0 days 05:17:00,UberSUV,Faible,,3
23,15,363,2023-06-02 02:40:31,66.93018266488501,25.31,0 days 22:20:00,UberSUV,Elevé,Mauvais,4
24,289,1424,2023-07-28 23:53:31,25.809505444854906,9.76,0 days 05:31:00,UberPool,Moyen,Moyen,1
25,313,280,2023-04-13 14:43:06,44.1617562427333,16.7,0 days 09:33:00,UberPool,Faible,Moyen,4
26,114,709,2023-09-15 15:08:51,58.547382228390134,22.14,0 days 19:04:00,UberX,Moyen,,3
27,464,1000,2023-12-17 06:07:37,39.24314147557857,14.84,0 days 11:59:00,UberSUV,Faible,,2
28,273,574,2023-02-06 07:09:13,12.772531895353403,4.83,0 days 03:01:00,UberPool,Elevé,,4
29,366,346,2023-04-07 05:39:30,69.49526671012163,26.28,0 days 23:44:00,UberSUV,Faible,Mauvais,4
30,195,766,2023-02-02 13:34:17,53.628767461235405,20.28,0 days 15:52:00,UberX,Elevé,Moyen,3
31,221,515,2023-02-11 23:13:58,11.450323624612885,4.33,0 days 02:53:00,UberSUV,Faible,,4
32,350,1040,2023-11-16 08:54:31,5.394609744621313,2.04,0 days 01:18:00,UberBlack,Moyen,Bien,3
33,496,1015,2023-01-10 14:06:05,12.957641053257076,4.9,0 days 03:46:00,UberX,Moyen,Moyen,1
34,253,1281,2023-02-13 20:48:01,25.492175459877185,9.64,0 days 05:21:00,UberX,Faible,Mauvais,1
35,45,1286,2023-10-16 21:17:39,52.67677750630224,19.92,0 days 14:06:00,UberPool,Faible,Bien,1
36,326,1328,2023-03-31 15:44:02,3.7550714889030705,1.42,0 days 01:10:00,UberBlack,Moyen,Bien,4
37,134,1409,2023-01-20 20:53:26,8.329912105665262,3.15,0 days 02:28:00,UberBlack,Elevé,Moyen,2
38,433,150,2023-06-25 22:35:20,37.39204989654185,14.14,0 days 10:54:00,UberX,Elevé,Mauvais,4
39,16,160,2023-11-24 11:41:04,62.566895371441305,23.66,0 days 17:50:00,UberSUV,Faible,Mauvais,4
40,91,1240,2023-04-12 20:42:47,73.06522904112101,27.63,0 days 20:22:00,UberX,Moyen,Moyen,3
41,118,721,2023-08-05 12:43:03,12.772531895353403,4.83,0 days 02:56:00,UberSUV,Elevé,Moyen,3
42,225,848,2023-08-10 13:33:46,30.278569399957856,11.45,0 days 08:32:00,UberSUV,Moyen,Bien,3
43,137,454,2023-01-05 01:55:21,42.31066466369657,16.0,0 days 11:32:00,UberX,Moyen,Bien,1
44,218,463,2023-10-14 14:26:57,47.41438858875497,17.93,0 days 10:58:00,UberPool,Elevé,Mauvais,4
45,417,364,2023-06-01 02:02:01,61.98512373231548,23.44,0 days 13:57:00,UberSUV,Moyen,Moyen,4
46,396,21,2023-11-21 05:51:05,64.57665194296689,24.42,0 days 13:37:00,UberBlack,Faible,Bien,2
47,63,355,2023-09-08 16:00:11,48.736596859495485,18.43,0 days 17:17:00,UberSUV,Faible,Mauvais,3
48,154,988,2023-05-12 15:44:57,53.020551656694764,20.05,0 days 17:41:00,UberSUV,Elevé,,4
49,259,183,2023-05-15 10:58:11,42.81310380657797,16.19,0 days 10:15:00,UberX,Faible,,1
50,305,1410,2023-03-22 10:15:04,12.190760256227575,4.61,0 days 03:00:00,UberBlack,Moyen,,3
51,288,1238,2023-08-21 22:35:36,7.9596937898579165,3.01,0 days 01:52:00,UberX,Faible,,1
52,31,1388,2023-12-10 02:02:12,63.28088783764118,23.93,0 days 19:42:00,UberSUV,Moyen,Bien,1
53,64,276,2023-03-27 01:31:27,62.32889788270801,23.57,0 days 21:11:00,UberBlack,Elevé,Mauvais,3
54,216,1407,2023-02-03 21:10:30,25.518619625291993,9.65,0 days 05:58:00,UberPool,Faible,Mauvais,4
55,270,962,2023-04-23 07:19:35,35.884732467897656,13.57,0 days 07:41:00,UberBlack,Moyen,,3
56,326,764,2023-10-04 19:42:27,34.80052168589043,13.16,0 days 06:58:00,UberX,Moyen,,1
57,332,500,2023-11-19 06:25:21,47.12350276919206,17.82,0 days 10:37:00,UberX,Elevé,,4
58,35,1494,2023-06-02 21:59:08,26.814383730617703,10.14,0 days 06:48:00,UberPool,Faible,Moyen,2
59,433,309,2023-05-04 18:19:22,64.31221028881879,24.32,1 days 00:13:00,UberPool,Elevé,Bien,4
60,355,351,2023-07-20 11:03:24,17.638258331678507,6.67,0 days 03:34:00,UberSUV,Elevé,,1
61,225,917,2023-01-04 01:43:01,19.727347399448526,7.46,0 days 04:56:00,UberBlack,Moyen,Bien,1
62,257,566,2023-04-08 20:26:01,55.37408237861289,20.94,0 days 13:04:00,UberBlack,Faible,Mauvais,2
63,289,422,2023-03-08 13:32:29,7.9068054590282975,2.99,0 days 01:57:00,UberPool,Elevé,Moyen,3
64,374,1224,2023-01-04 17:43:10,37.12760824239374,14.04,0 days 13:46:00,UberSUV,Faible,Moyen,1
65,173,1433,2023-11-09 18:14:48,41.67600469374112,15.76,0 days 10:50:00,UberPool,Moyen,,1
66,100,1263,2023-12-06 06:49:52,74.2816606502023,28.09,0 days 17:22:00,UberPool,Faible,,2
67,285,855,2023-08-26 21:22:46,5.473942240865743,2.07,0 days 01:37:00,UberBlack,Moyen,Moyen,3
68,119,753,2023-04-17 16:00:29,5.18305642130283,1.96,0 days 01:54:00,UberPool,Faible,,3
69,63,254,2023-08-21 18:52:24,61.82645873982661,23.38,0 days 18:15:00,UberPool,Faible,Moyen,1
70,175,555,2023-07-11 09:11:07,28.8505844675581,10.91,0 days 09:30:00,UberBlack,Faible,,2
71,405,128,2023-05-07 05:59:42,65.52864189790007,24.78,0 days 23:38:00,UberX,Faible,Bien,4
72,345,205,2023-05-13 06:53:36,69.12504839431428,26.14,0 days 20:36:00,UberBlack,Moyen,,2
73,66,136,2023-07-10 21:27:40,15.152506782686336,5.73,0 days 03:46:00,UberSUV,Elevé,Moyen,4
74,35,486,2023-02-05 09:24:08,77.82517881578688,29.43,0 days 17:16:00,UberSUV,Moyen,,3
75,10,1346,2023-04-18 22:04:25,4.363287293443709,1.65,0 days 01:38:00,UberBlack,Elevé,Moyen,3
76,426,1043,2023-11-09 19:44:16,56.35251649896087,21.31,0 days 16:02:00,UberPool,Faible,Moyen,3
77,222,909,2023-03-09 16:37:27,59.26137469459001,22.41,0 days 17:03:00,UberBlack,Elevé,,4
78,447,1497,2023-06-27 14:13:04,19.013354933248646,7.19,0 days 04:40:00,UberPool,Faible,Bien,4
79,173,487,2023-12-14 03:20:04,6.320155534139675,2.39,0 days 01:59:00,UberX,Moyen,Mauvais,3
80,307,227,2023-05-29 00:58:12,76.5823030412908,28.96,0 days 18:35:00,UberPool,Faible,,1
81,497,504,2023-05-22 13:07:13,18.854689940759783,7.13,0 days 05:37:00,UberPool,Faible,,1
82,286,1431,2023-04-26 00:32:50,7.060592165754365,2.67,0 days 02:23:00,UberBlack,Moyen,Mauvais,2
83,446,425,2023-03-22 08:49:06,8.22413544400602,3.11,0 days 01:54:00,UberBlack,Faible,Bien,2
84,482,1404,2023-10-22 07:05:36,78.88294543237929,29.83,0 days 23:52:00,UberBlack,Moyen,Moyen,2
85,351,64,2023-03-14 22:23:48,48.604376032421435,18.38,0 days 10:05:00,UberX,Faible,Moyen,2
86,105,880,2023-12-03 13:54:00,17.1093750233823,6.47,0 days 05:52:00,UberPool,Faible,Bien,3
87,290,428,2023-04-11 23:35:14,45.1930786939109,17.09,0 days 10:45:00,UberPool,Elevé,Mauvais,1
88,128,1223,2023-10-16 22:50:16,45.72196200220711,17.29,0 days 17:15:00,UberPool,Faible,Mauvais,1
89,430,1252,2023-07-31 17:05:34,48.15482522036966,18.21,0 days 13:21:00,UberPool,Moyen,,2
90,178,634,2023-06-06 18:52:01,10.630554496753762,4.02,0 days 02:15:00,UberX,Elevé,,3
91,341,1415,2023-09-24 09:23:03,21.155332331848285,8.0,0 days 06:43:00,UberX,Moyen,Mauvais,4
92,202,547,2023-11-08 05:02:44,49.82080764150271,18.84,0 days 09:47:00,UberX,Faible,,1
93,203,807,2023-03-18 18:13:34,71.05547246959543,26.87,0 days 23:32:00,UberBlack,Faible,,1
94,232,1092,2023-10-03 18:44:50,43.05110129531126,16.28,0 days 08:27:00,UberX,Moyen,Bien,1
95,365,1032,2023-12-15 02:39:31,23.403086392107166,8.85,0 days 06:31:00,UberSUV,Elevé,Moyen,1
96,109,824,2023-07-23 20:47:45,60.08114382244913,22.72,0 days 15:02:00,UberSUV,Faible,Mauvais,1
97,350,709,2023-03-07 12:12:27,76.79385636460927,29.04,0 days 21:57:00,UberBlack,Faible,,2
98,410,1442,2023-09-01 14:18:15,65.63441855955931,24.82,0 days 22:08:00,UberSUV,Elevé,Moyen,2
99,240,1039,2023-06-02 08:51:49,74.3081048156171,28.1,0 days 21:48:00,UberBlack,Moyen,Bien,2
100,65,472,2023-05-18 08:57:10,65.31708857458158,24.7,0 days 12:56:00,UberPool,Moyen,Mauvais,3
101,480,101,2023-11-01 11:27:57,9.678564541820592,3.66,0 days 01:51:00,UberX,Elevé,Bien,2
102,20,304,2023-06-30 08:59:22,44.98152537059242,17.01,0 days 10:19:00,UberX,Elevé,Bien,1
103,254,1323,2023-04-12 20:53:37,64.70887277004094,24.47,0 days 15:31:00,UberX,Moyen,Bien,4
104,105,865,2023-10-09 10:58:04,78.88294543237929,29.83,0 days 17:45:00,UberPool,Elevé,,4
105,415,1434,2023-11-07 15:25:12,9.334790391428056,3.53,0 days 03:26:00,UberBlack,Faible,,1
106,8,598,2023-12-06 06:05:35,32.47343512938711,12.28,0 days 09:42:00,UberPool,Faible,,4
107,366,500,2023-03-21 22:00:47,4.548396451347381,1.72,0 days 01:24:00,UberBlack,Faible,,3
108,18,498,2023-01-31 13:25:57,7.801028797369056,2.95,0 days 02:56:00,UberSUV,Moyen,Bien,4
109,202,603,2023-10-31 02:04:41,59.71092550664178,22.58,0 days 12:04:00,UberPool,Moyen,Mauvais,4
110,414,523,2023-01-30 04:52:00,40.53890558090428,15.33,0 days 11:42:00,UberPool,Elevé,Moyen,2
111,26,833,2023-09-11 23:57:03,35.4880699866755,13.42,0 days 08:04:00,UberSUV,Moyen,Moyen,2
112,350,1232,2023-10-29 01:18:24,77.40207216914992,29.27,1 days 02:41:00,UberX,Faible,,1
113,179,780,2023-04-06 02:40:16,18.56380412119687,7.02,0 days 06:37:00,UberBlack,Faible,Mauvais,4
114,232,1035,2023-04-23 20:47:43,65.23775607833716,24.67,0 days 14:51:00,UberPool,Elevé,Mauvais,3
115,450,1483,2023-04-26 15:10:55,14.72940013604937,5.57,0 days 03:26:00,UberSUV,Moyen,,2
116,460,964,2023-01-23 14:05:25,48.948150182813976,18.51,0 days 16:29:00,UberSUV,Moyen,,4
117,103,1252,2023-06-26 04:34:40,67.53839846942564,25.54,1 days 00:39:00,UberPool,Moyen,Moyen,2
118,233,282,2023-09-08 19:35:21,25.730172948610477,9.73,0 days 09:29:00,UberX,Faible,Bien,1
119,350,75,2023-04-25 20:45:49,10.392557008020471,3.93,0 days 02:00:00,UberPool,Moyen,Bien,1
120,379,1455,2023-01-28 14:00:00,17.1093750233823,6.47,0 days 05:18:00,UberSUV,Elevé,Moyen,2
121,332,1369,2023-09-01 21:33:43,10.022338692213125,3.79,0 days 03:11:00,UberSUV,Faible,Mauvais,1
122,206,1203,2023-03-19 08:22:08,59.737369672056595,22.59,0 days 19:29:00,UberX,Moyen,Mauvais,4
123,25,474,2023-02-21 02:47:24,12.032095263738713,4.55,0 days 04:09:00,UberSUV,Faible,Mauvais,4
124,277,840,2023-04-20 19:01:25,9.837229534309452,3.72,0 days 02:45:00,UberBlack,Moyen,,2
125,429,910,2023-11-14 07:51:07,45.08730203225166,17.05,0 days 10:19:00,UberPool,Moyen,Moyen,1
126,326,651,2023-10-31 16:50:21,62.3024537172932,23.56,0 days 23:11:00,UberBlack,Faible,,3
127,210,1447,2023-11-15 17:22:04,38.740702332697175,14.65,0 days 08:51:00,UberPool,Elevé,Mauvais,1
128,135,1164,2023-12-21 14:06:38,6.2672672033100545,2.37,0 days 01:25:00,UberSUV,Moyen,Moyen,3
129,442,745,2023-12-16 07:46:13,46.62106362631066,17.63,0 days 10:44:00,UberPool,Elevé,,4
130,98,653,2023-07-11 02:59:29,9.7050087072354,3.67,0 days 03:29:00,UberX,Faible,Bien,1
131,488,586,2023-08-23 12:20:50,60.107587987863944,22.73,0 days 17:12:00,UberPool,Faible,Bien,1
132,393,562,2023-12-12 08:05:02,31.415668512794706,11.88,0 days 07:34:00,UberBlack,Faible,,2
133,479,233,2023-06-18 06:58:22,74.17588398854305,28.05,1 days 02:42:00,UberPool,Moyen,Moyen,2
134,417,1221,2023-12-30 23:44:53,59.81670216830103,22.62,0 days 18:42:00,UberPool,Faible,Bien,2
135,27,591,2023-03-22 23:25:16,21.102444001018664,7.98,0 days 05:17:00,UberBlack,Moyen,,4
136,28,1054,2023-08-13 04:33:07,40.6182380771487,15.36,0 days 09:55:00,UberBlack,Elevé,Bien,4
137,215,690,2023-05-06 20:07:21,12.798976060768211,4.84,0 days 04:48:00,UberX,Faible,Bien,3
138,4,504,2023-03-07 12:55:16,58.468049732145694,22.11,0 days 18:00:00,UberSUV,Faible,Bien,2
139,231,988,2023-03-02 03:11:03,44.61130705478507,16.87,0 days 14:51:00,UberX,Faible,Mauvais,1
140,321,1443,2023-10-05 15:36:48,9.916562030553884,3.75,0 days 01:54:00,UberBlack,Moyen,Moyen,4
141,205,500,2023-04-13 02:57:16,25.41284296363275,9.61,0 days 06:45:00,UberBlack,Moyen,Bien,1
142,47,527,2023-11-18 19:19:50,7.45725464697652,2.82,0 days 02:07:00,UberSUV,Elevé,Moyen,3
143,214,617,2023-10-26 00:41:57,43.897314588585196,16.6,0 days 15:09:00,UberBlack,Moyen,Mauvais,2
144,403,771,2023-08-11 21:11:09,48.10193688954004,18.19,0 days 10:38:00,UberX,Faible,Moyen,4
145,241,1075,2023-06-23 04:22:09,24.196411354551476,9.15,0 days 08:23:00,UberSUV,Elevé,Bien,1
146,304,171,2023-05-03 20:18:16,52.43878001756893,19.83,0 days 11:26:00,UberPool,Faible,,4
147,461,1460,2023-11-24 17:41:16,29.326579445024684,11.09,0 days 06:39:00,UberSUV,Elevé,Mauvais,1
148,238,885,2023-03-14 06:11:41,60.795136288649005,22.99,0 days 17:45:00,UberX,Faible,Moyen,1
149,213,1393,2023-08-23 15:47:50,48.948150182813976,18.51,0 days 11:07:00,UberPool,Elevé,Moyen,2
150,163,105,2023-06-27 21:04:55,59.737369672056595,22.59,0 days 19:32:00,UberSUV,Moyen,Bien,3
151,476,479,2023-07-07 04:16:12,43.79153792692595,16.56,0 days 13:02:00,UberBlack,Moyen,Mauvais,4
152,429,793,2023-06-27 18:05:02,66.11041353702589,25.0,0 days 14:18:00,UberBlack,Moyen,Moyen,1
153,449,743,2023-10-27 04:02:30,6.5052646920433475,2.46,0 days 02:26:00,UberBlack,Faible,Moyen,3
154,187,1245,2023-12-13 15:17:42,75.89475474050572,28.7,0 days 15:05:00,UberSUV,Faible,Bien,1
155,42,775,2023-09-25 10:52:17,4.416175624273329,1.67,0 days 01:20:00,UberPool,Moyen,,1
156,309,125,2023-12-05 12:20:46,7.192812992828418,2.72,0 days 02:25:00,UberPool,Elevé,Bien,3
157,234,1166,2023-01-13 18:36:09,16.844933369234198,6.37,0 days 03:14:00,UberX,Faible,Mauvais,3
158,452,361,2023-02-06 17:04:59,20.04467738442625,7.58,0 days 04:11:00,UberX,Moyen,Moyen,4
159,487,44,2023-01-12 10:46:23,37.97382153566767,14.36,0 days 10:45:00,UberPool,Elevé,Mauvais,1
160,248,984,2023-12-06 11:02:57,69.73326419885491,26.37,0 days 17:50:00,UberBlack,Moyen,,1
161,152,1333,2023-04-19 18:04:29,54.07831827328718,20.45,0 days 19:53:00,UberX,Faible,Mauvais,3
162,425,332,2023-01-29 14:12:01,42.389997159941004,16.03,0 days 13:04:00,UberX,Faible,,2
163,340,1180,2023-09-30 13:11:17,59.18204219834558,22.38,0 days 13:28:00,UberSUV,Elevé,Moyen,3
164,324,1077,2023-01-12 18:36:33,46.19795697967369,17.47,0 days 16:05:00,UberBlack,Moyen,Bien,4
165,161,1321,2023-02-24 04:01:06,77.82517881578688,29.43,1 days 00:02:00,UberSUV,Faible,Bien,3
166,462,1161,2023-09-10 15:45:07,76.3707497179723,28.88,0 days 20:27:00,UberPool,Faible,Moyen,3
167,386,140,2023-08-13 02:08:59,17.294484181285974,6.54,0 days 03:47:00,UberSUV,Moyen,Bien,2
168,282,1074,2023-12-07 05:14:02,67.85572845440338,25.66,0 days 21:42:00,UberBlack,Moyen,Moyen,1
169,260,282,2023-08-28 20:09:24,46.647507791725474,17.64,0 days 16:35:00,UberX,Faible,Mauvais,3
170,312,220,2023-09-29 22:24:44,32.52632346021674,12.3,0 days 07:33:00,UberBlack,Elevé,Bien,4
171,196,689,2023-04-13 14:54:53,7.642363804880193,2.89,0 days 02:00:00,UberX,Elevé,,1
172,292,1194,2023-01-01 16:21:23,68.04083761230704,25.73,0 days 16:12:00,UberX,Moyen,Mauvais,1
173,118,1460,2023-11-20 12:52:46,26.523497911054786,10.03,0 days 08:04:00,UberSUV,Moyen,,4
174,50,1167,2023-05-20 08:05:14,23.297309730447925,8.81,0 days 06:23:00,UberBlack,Elevé,Moyen,1
175,402,280,2023-06-21 00:46:33,58.309384739656835,22.05,0 days 14:11:00,UberX,Elevé,Bien,2
176,442,1320,2023-12-06 15:55:18,23.508863053766408,8.89,0 days 06:20:00,UberBlack,Moyen,Bien,3
177,227,1100,2023-06-28 23:26:33,18.431583294122817,6.97,0 days 05:29:00,UberBlack,Moyen,Moyen,3
178,139,107,2023-08-08 08:11:15,63.51888532637447,24.02,0 days 17:08:00,UberSUV,Faible,Mauvais,1
179,400,30,2023-04-11 10:50:55,2.829525699384708,1.07,0 days 00:56:00,UberBlack,Elevé,Moyen,2
180,203,523,2023-12-07 07:28:08,74.99565311640217,28.36,0 days 21:08:00,UberSUV,Moyen,Bien,1
181,235,1078,2023-01-25 10:54:44,39.534027295141485,14.95,0 days 11:11:00,UberPool,Moyen,Bien,1
182,306,397,2023-03-08 07:50:29,22.84775891839615,8.64,0 days 06:27:00,UberPool,Elevé,Bien,4
183,435,996,2023-01-16 21:59:03,38.31759568606021,14.49,0 days 10:13:00,UberX,Moyen,Moyen,2
184,385,207,2023-06-07 12:15:54,12.111427759983144,4.58,0 days 03:31:00,UberX,Faible,Mauvais,3
185,497,1370,2023-05-10 19:12:00,10.233892015531609,3.87,0 days 03:04:00,UberSUV,Elevé,Moyen,2
186,95,930,2023-01-25 00:03:05,33.689866738468396,12.74,0 days 12:30:00,UberPool,Elevé,Mauvais,2
187,410,1125,2023-12-22 11:56:12,36.836722422830825,13.93,0 days 10:58:00,UberX,Faible,,3
188,360,1489,2023-05-30 15:59:29,43.156877956970504,16.32,0 days 15:50:00,UberBlack,Faible,Bien,2
189,121,334,2023-11-23 15:38:15,25.545063790706806,9.66,0 days 07:30:00,UberBlack,Elevé,,2
190,254,1308,2023-02-22 00:46:54,34.641856693401564,13.1,0 days 12:14:00,UberX,Faible,Moyen,2
191,235,264,2023-07-28 17:11:12,54.05187410787237,20.44,0 days 17:54:00,UberX,Elevé,Mauvais,1
192,355,448,2023-01-24 19:13:01,15.020285955612282,5.68,0 days 03:37:00,UberBlack,Moyen,Mauvais,4
193,381,19,2023-09-18 00:55:42,9.334790391428056,3.53,0 days 02:06:00,UberX,Elevé,,2
194,359,980,2023-06-23 18:11:41,57.54250394262734,21.76,0 days 21:27:00,UberPool,Moyen,Mauvais,4
195,294,225,2023-02-06 01:20:30,45.82773866386634,17.33,0 days 11:11:00,UberX,Moyen,Mauvais,2
196,484,650,2023-07-27 01:49:28,63.14866701056713,23.88,0 days 22:03:00,UberBlack,Moyen,Bien,1
197,55,226,2023-10-20 06:29:47,12.904752722427453,4.88,0 days 03:28:00,UberSUV,Faible,Moyen,1
198,226,683,2023-10-23 10:14:34,9.7050087072354,3.67,0 days 03:07:00,UberX,Moyen,,2
199,373,1064,2023-03-08 04:45:36,12.825420226183022,4.85,0 days 03:20:00,UberBlack,Elevé,Mauvais,3
200,188,294,2023-08-29 02:49:52,33.02876260309814,12.49,0 days 10:14:00,UberPool,Moyen,,3
201,465,1029,2023-08-27 19:21:13,44.452642062296206,16.81,0 days 15:28:00,UberX,Elevé,Bien,3
202,125,866,2023-04-06 08:14:37,58.468049732145694,22.11,0 days 16:44:00,UberPool,Faible,,4
203,74,165,2023-01-08 11:05:22,7.087036331169176,2.68,0 days 02:38:00,UberBlack,Moyen,,1
204,140,892,2023-01-14 17:03:12,23.931969700403375,9.05,0 days 08:32:00,UberX,Elevé,Moyen,4
205,350,640,2023-07-29 13:14:29,10.154559519287176,3.84,0 days 03:04:00,UberPool,Elevé,,1
206,486,1245,2023-11-17 23:15:43,65.87241604829259,24.91,1 days 00:50:00,UberPool,Faible,Moyen,3
207,290,327,2023-12-27 23:44:46,75.44520392845395,28.53,0 days 22:39:00,UberSUV,Elevé,Mauvais,3
208,197,23,2023-05-20 22:52:56,14.041851835264298,5.31,0 days 04:44:00,UberBlack,Elevé,Mauvais,3
209,348,1265,2023-01-03 11:25:47,26.60283040729922,10.06,0 days 06:37:00,UberX,Faible,,1
210,223,1026,2023-10-24 14:36:47,40.962012227541244,15.49,0 days 14:05:00,UberX,Faible,,4
211,493,1132,2023-04-23 21:20:54,52.518112513813364,19.86,0 days 15:42:00,UberX,Faible,,2
212,207,1470,2023-09-14 06:47:59,47.89038356622155,18.11,0 days 17:03:00,UberBlack,Moyen,,4
213,393,570,2023-12-27 09:16:18,38.872923159771226,14.7,0 days 09:52:00,UberSUV,Moyen,Moyen,2
214,3,118,2023-02-08 02:00:15,49.503477656524986,18.72,0 days 15:43:00,UberPool,Elevé,Mauvais,3
215,277,951,2023-02-13 14:23:44,46.91194944587357,17.74,0 days 10:38:00,UberSUV,Faible,Bien,2
216,34,801,2023-02-22 17:28:04,69.75970836426971,26.38,1 days 01:48:00,UberSUV,Elevé,Moyen,1
217,279,1187,2023-06-24 03:31:27,69.54815504095124,26.3,0 days 18:18:00,UberSUV,Moyen,,3
218,374,124,2023-04-12 03:06:29,50.799241761850695,19.21,0 days 15:02:00,UberX,Moyen,,3
219,289,991,2023-12-12 18:20:49,76.15919639465383,28.8,0 days 15:03:00,UberX,Elevé,Mauvais,2
220,28,997,2023-11-10 22:07:04,75.47164809386875,28.54,1 days 04:31:00,UberBlack,Elevé,Bien,2
221,156,853,2023-08-02 16:02:57,40.327352257585794,15.25,0 days 13:33:00,UberX,Elevé,,1
222,389,818,2023-06-24 00:25:46,12.666755233694161,4.79,0 days 03:54:00,UberX,Moyen,,1
223,385,1262,2023-07-21 00:45:48,8.647242090642987,3.27,0 days 01:47:00,UberSUV,Moyen,,2
224,382,550,2023-05-15 20:48:51,33.76919923471282,12.77,0 days 08:26:00,UberX,Moyen,Mauvais,4
225,349,1254,2023-04-11 12:19:08,69.7068200334401,26.36,0 days 22:57:00,UberX,Faible,Mauvais,4
226,470,1069,2023-06-12 17:14:46,60.68935962698977,22.95,0 days 19:42:00,UberX,Faible,,2
227,131,562,2023-11-06 20:44:09,43.20976628780012,16.34,0 days 09:57:00,UberPool,Moyen,Bien,3
228,499,640,2023-10-26 00:30:09,71.79590910121011,27.15,0 days 19:01:00,UberBlack,Faible,,3
229,259,100,2023-09-07 19:41:00,29.062137790876584,10.99,0 days 05:58:00,UberSUV,Moyen,Bien,1
230,46,440,2023-07-24 13:52:51,34.77407752047562,13.15,0 days 12:26:00,UberPool,Moyen,Mauvais,2
231,114,991,2023-04-24 22:21:31,71.7165766049657,27.12,1 days 02:52:00,UberSUV,Moyen,,3
232,350,487,2023-04-26 00:19:04,78.06317630452017,29.52,0 days 23:33:00,UberPool,Moyen,,3
233,58,1095,2023-07-31 06:39:38,72.06035075535823,27.25,0 days 13:59:00,UberSUV,Elevé,Bien,1
234,40,653,2023-12-07 17:22:28,66.93018266488501,25.31,0 days 22:03:00,UberX,Faible,,1
235,470,25,2023-10-24 13:31:07,73.14456153736545,27.66,0 days 15:51:00,UberPool,Moyen,Mauvais,1
236,290,403,2023-06-09 04:37:11,79.20027541735702,29.95,0 days 20:39:00,UberX,Moyen,Mauvais,1
237,404,312,2023-03-14 21:40:29,38.767146498111984,14.66,0 days 11:24:00,UberX,Moyen,,4
238,431,982,2023-10-14 03:40:55,59.55226051415292,22.52,0 days 19:48:00,UberPool,Elevé,,1
239,207,1251,2023-02-19 22:23:18,6.320155534139675,2.39,0 days 01:19:00,UberBlack,Faible,Moyen,4
240,464,1287,2023-03-09 03:17:56,35.93762079872727,13.59,0 days 06:59:00,UberX,Elevé,Bien,3
241,8,1032,2023-02-16 10:14:20,16.474715053426852,6.23,0 days 05:50:00,UberSUV,Moyen,Moyen,3
242,495,80,2023-06-10 00:16:31,63.94199197301144,24.18,0 days 17:56:00,UberBlack,Moyen,Moyen,2
