ID_Client,Date_Inscription,Moyen_Paiement,Préférences,Evaluations_Chauffeurs,Préférences_Musique,Dépense_Totale,Nombre_Trajets,Compte_Vérifié
84,2020-07-27 11:24:07,PayPal,VIP,1.89,Classique,7134.43,175,True
85,2022-12-12 02:37:41,Espèces,Famille,1.65,Hip-Hop,3383.76,83,True
86,2020-10-25 07:22:41,Espèces,VIP,4.94,Jazz,2649.93,65,True
87,2022-10-08 14:03:37,Espèces,Famille,4.21,Hip-Hop,2486.86,61,True
88,2018-03-21 04:14:02,Carte de Crédit,Standard,3.88,Jazz,3383.76,83,True
89,2022-10-04 15:05:04,PayPal,VIP,2.15,Classique,896.9,22,True
90,2019-06-19 12:28:17,Carte de Crédit,Famille,1.88,Hip-Hop,1875.34,46,True
91,2021-11-02 06:07:49,PayPal,Standard,1.13,Jazz,2405.32,59,False
92,2022-07-27 21:37:34,PayPal,Famille,4.15,Pop,2976.08,73,True
93,2022-03-23 23:19:31,Espèces,Standard,3.42,Rock,4280.66,105,True
94,2019-10-01 17:44:32,Carte de Crédit,Eco,2.72,Jazz,4280.66,105,False
95,2021-12-30 04:14:42,PayPal,VIP,4.1,Hip-Hop,5503.7,135,True
96,2020-10-17 04:35:56,Carte de Crédit,VIP,2.06,Hip-Hop,7582.88,186,True
97,2019-09-09 23:46:58,PayPal,Famille,3.36,Hip-Hop,937.67,23,True
98,2021-10-17 23:07:16,Carte de Crédit,Eco,3.67,Rock,7990.56,196,True
99,2022-03-10 06:21:22,PayPal,Eco,1.04,Rock,1916.1,47,True
100,2021-02-01 09:24:34,Carte de Crédit,Famille,2.53,Pop,7419.8,182,True
101,2019-12-23 17:39:57,Carte de Crédit,VIP,4.31,Classique,2283.02,56,False
102,2019-08-10 17:15:47,Carte de Crédit,Famille,2.94,Pop,0.0,0,True
103,2022-04-05 23:49:58,PayPal,Standard,3.09,Rock,7786.72,191,False
104,2019-08-28 07:07:01,Carte de Crédit,Famille,2.55,Aucune,6930.59,170,False
105,2018-02-03 23:27:06,Carte de Crédit,VIP,2.05,Aucune,5585.24,137,True
106,2021-09-17 16:43:40,Carte de Crédit,Famille,1.24,Classique,2976.08,73,True
107,2021-06-02 16:28:56,PayPal,Famille,3.52,Jazz,2160.71,53,True
108,2022-01-31 18:33:32,PayPal,Eco,3.85,Pop,81.54,2,True
109,2020-05-06 21:27:09,PayPal,VIP,4.98,Rock,7705.18,189,True
110,2021-12-29 20:36:12,PayPal,Eco,3.15,Hip-Hop,5218.32,128,False
111,2020-10-15 22:42:23,PayPal,Eco,4.04,Classique,1386.12,34,True
112,2021-04-06 07:10:59,Espèces,Famille,1.32,Aucune,122.3,3,True
113,2020-11-11 21:41:34,Carte de Crédit,Eco,3.1,Classique,2079.18,51,True
114,2022-07-26 21:05:51,Carte de Crédit,Eco,1.66,Pop,7052.89,173,False
115,2019-01-21 09:54:21,PayPal,VIP,1.34,Pop,3669.13,90,True
116,2018-09-02 18:17:33,Espèces,Standard,1.49,Jazz,3057.61,75,True
117,2022-06-04 14:39:54,Carte de Crédit,Standard,1.08,Pop,6685.98,164,True
118,2020-05-24 23:59:07,PayPal,Eco,4.4,Jazz,3220.68,79,True
119,2022-05-27 22:53:30,Carte de Crédit,Famille,1.01,Hip-Hop,7786.72,191,False
120,2021-06-05 03:42:21,Carte de Crédit,VIP,1.46,Classique,7215.96,177,False
121,2018-06-08 04:42:20,Espèces,Eco,1.23,Aucune,6930.59,170,True
122,2020-11-01 16:24:15,Carte de Crédit,Eco,3.64,Pop,1753.03,43,True
123,2019-05-08 22:19:17,PayPal,Eco,2.84,Rock,5544.47,136,True
124,2022-05-27 12:54:55,Carte de Crédit,VIP,3.96,Aucune,366.91,9,True
125,2021-04-11 07:11:30,PayPal,Famille,4.32,Jazz,4484.5,110,True
126,2022-07-13 05:04:48,Carte de Crédit,Famille,4.64,Jazz,1834.57,45,False
127,2018-08-31 18:27:37,Espèces,Eco,4.12,Pop,6074.46,149,False
128,2021-11-19 19:23:15,Carte de Crédit,Standard,4.22,Rock,244.61,6,True
129,2021-07-01 14:22:38,PayPal,VIP,2.27,Aucune,7827.49,192,True
130,2020-11-07 14:39:37,Carte de Crédit,Famille,2.34,Classique,1753.03,43,True
131,2018-02-12 13:03:33,PayPal,Standard,3.65,Rock,6685.98,164,True
132,2022-09-06 14:53:03,Espèces,Standard,3.32,Jazz,6359.83,156,True
133,2018-09-30 21:54:38,PayPal,VIP,3.51,Aucune,1467.65,36,True
134,2020-09-13 21:39:02,PayPal,Famille,3.95,Rock,5177.56,127,False
135,2019-10-06 22:34:01,PayPal,VIP,3.68,Hip-Hop,1426.89,35,False
136,2022-02-04 10:58:29,Carte de Crédit,VIP,2.43,Classique,5707.54,140,True
137,2021-03-20 00:00:37,Carte de Crédit,Famille,4.62,Aucune,1019.2,25,True
138,2019-07-31 19:22:24,PayPal,Famille,3.2,Hip-Hop,7338.27,180,True
139,2021-11-27 19:33:13,PayPal,VIP,2.9,Rock,3995.28,98,True
140,2019-11-03 08:39:35,Carte de Crédit,VIP,4.93,Pop,4484.5,110,False
141,2020-06-14 15:14:12,Carte de Crédit,Famille,1.76,Aucune,6155.99,151,False
142,2022-11-09 05:00:47,Espèces,Standard,1.6,Rock,5340.63,131,True
143,2021-12-19 14:23:25,Espèces,Eco,3.14,Hip-Hop,2119.94,52,True
144,2021-01-15 15:40:52,Espèces,Standard,2.01,Aucune,3261.45,80,False
145,2018-09-16 03:16:05,Carte de Crédit,VIP,2.34,Pop,652.29,16,False
146,2020-06-10 15:05:46,PayPal,VIP,1.65,Hip-Hop,6196.76,152,False
147,2019-08-14 04:54:11,Espèces,VIP,3.48,Jazz,5422.16,133,False
148,2018-10-24 16:56:23,Espèces,Famille,1.13,Rock,4199.12,103,True
149,2019-08-07 17:39:14,Carte de Crédit,VIP,4.23,Hip-Hop,5503.7,135,True
150,2018-09-26 13:11:20,Carte de Crédit,Eco,1.37,Classique,5381.4,132,True
151,2022-03-25 04:40:38,Carte de Crédit,Famille,3.34,Pop,5544.47,136,False
152,2018-11-25 08:32:58,PayPal,VIP,2.84,Hip-Hop,2527.63,62,False
153,2021-01-16 02:31:43,Espèces,Eco,3.43,Pop,4769.87,117,True
154,2019-09-29 03:30:59,Carte de Crédit,VIP,3.92,Hip-Hop,2649.93,65,True
155,2022-04-19 01:12:05,Carte de Crédit,Standard,3.32,Aucune,122.3,3,False
156,2018-07-23 22:32:46,Espèces,Standard,4.58,Hip-Hop,6889.82,169,False
157,2019-02-17 19:40:03,Carte de Crédit,Standard,4.52,Aucune,2731.47,67,False
158,2022-03-28 13:13:20,PayPal,VIP,2.49,Rock,2160.71,53,False
159,2020-09-24 16:21:02,Espèces,Standard,4.08,Aucune,8031.33,197,False
160,2022-11-20 12:11:31,Carte de Crédit,Eco,2.95,Classique,2119.94,52,False
161,2020-04-13 19:18:37,PayPal,Famille,1.72,Classique,2201.48,54,False
162,2021-11-06 19:49:40,PayPal,Famille,2.82,Pop,1141.51,28,True
163,2021-05-09 06:07:27,PayPal,Famille,2.89,Rock,3424.53,84,True
164,2018-02-22 19:38:39,PayPal,Standard,4.73,Jazz,4443.73,109,True
165,2018-09-15 18:53:14,PayPal,Standard,3.71,Aucune,7705.18,189,True
166,2022-11-05 00:21:22,Carte de Crédit,Eco,3.35,Pop,1671.49,41,False
167,2018-01-03 22:30:02,PayPal,VIP,2.81,Hip-Hop,570.75,14,False
168,2019-06-30 03:59:28,PayPal,VIP,3.54,Classique,6441.37,158,True
169,2019-09-02 11:23:16,Carte de Crédit,Eco,1.53,Aucune,5870.61,144,False
170,2022-03-10 00:33:10,Carte de Crédit,Eco,2.92,Jazz,7745.95,190,False
171,2020-10-07 14:04:50,Espèces,VIP,4.93,Pop,6482.14,159,False
172,2021-04-03 23:35:34,PayPal,VIP,1.02,Pop,1141.51,28,True
173,2021-05-30 17:03:17,Espèces,Standard,2.91,Classique,3220.68,79,True
174,2022-06-01 11:05:43,PayPal,Famille,4.73,Aucune,1304.58,32,False
175,2018-03-03 16:24:22,Espèces,Eco,3.55,Hip-Hop,1793.8,44,True
176,2020-09-19 10:26:45,Carte de Crédit,Eco,2.95,Classique,4688.34,115,True
177,2022-09-17 15:15:00,Carte de Crédit,VIP,4.37,Rock,3098.38,76,True
178,2021-06-20 02:02:08,Espèces,Standard,3.58,Pop,285.38,7,True
179,2021-03-31 16:45:55,PayPal,Famille,4.72,Classique,7338.27,180,True
180,2022-05-30 08:55:22,Carte de Crédit,VIP,3.88,Classique,5748.31,141,True
181,2022-05-28 04:31:58,Espèces,VIP,1.81,Aucune,2160.71,53,False
182,2018-05-17 02:01:12,Carte de Crédit,Eco,2.24,Rock,4647.57,114,True
183,2019-04-15 10:29:47,Carte de Crédit,Famille,3.89,Jazz,3709.9,91,True
184,2018-08-10 02:04:11,PayPal,VIP,1.93,Rock,7705.18,189,True
185,2019-06-01 09:40:16,Carte de Crédit,Standard,4.0,Jazz,4810.64,118,False
186,2019-11-07 07:03:51,Carte de Crédit,Standard,1.44,Jazz,407.68,10,True
187,2022-04-08 03:24:26,PayPal,Eco,4.33,Jazz,7827.49,192,False
188,2021-11-12 19:35:02,PayPal,VIP,3.61,Classique,4158.35,102,False
189,2019-10-19 09:39:29,PayPal,Famille,3.36,Rock,2201.48,54,True
190,2020-04-22 19:13:51,Espèces,Eco,3.97,Pop,5503.7,135,False
191,2020-07-01 14:37:49,PayPal,Standard,2.12,Pop,3302.22,81,True
192,2022-05-29 18:43:44,Carte de Crédit,Famille,4.61,Hip-Hop,856.13,21,True
193,2020-08-01 08:42:22,Carte de Crédit,Standard,4.78,Rock,4769.87,117,True
194,2019-05-14 12:00:00,PayPal,VIP,1.08,Aucune,2976.08,73,False
195,2022-04-16 17:33:48,Espèces,Eco,4.19,Rock,2976.08,73,True
196,2020-07-24 04:07:19,Espèces,Standard,2.32,Pop,5136.79,126,True
197,2019-05-22 22:37:25,Espèces,Standard,3.62,Jazz,4525.27,111,True
198,2018-10-07 05:34:57,Carte de Crédit,VIP,4.95,Classique,6359.83,156,False
199,2022-05-19 06:27:35,Espèces,Eco,4.38,Classique,4729.11,116,True
200,2019-06-20 01:22:14,Espèces,Famille,2.05,Jazz,6319.06,155,True
201,2019-05-29 23:18:17,PayPal,VIP,2.4,Rock,896.9,22,True
202,2022-01-13 07:03:50,Espèces,VIP,4.58,Hip-Hop,6767.51,166,True
203,2020-12-30 18:01:00,PayPal,VIP,4.6,Hip-Hop,2976.08,73,True
204,2019-02-12 20:06:55,Carte de Crédit,Eco,3.1,Pop,774.59,19,False
205,2022-11-10 01:33:33,Espèces,Eco,3.54,Aucune,5177.56,127,True
206,2021-12-17 22:37:13,Espèces,Standard,3.37,Jazz,6400.6,157,True
207,2018-12-27 12:04:47,Espèces,Famille,1.56,Rock,7134.43,175,True
208,2021-05-22 05:26:59,Carte de Crédit,Standard,4.93,Classique,5136.79,126,True
209,2022-02-22 20:53:17,Carte de Crédit,Famille,4.81,Hip-Hop,815.36,20,True
210,2022-05-06 00:35:49,Espèces,VIP,1.85,Hip-Hop,6767.51,166,True
211,2018-03-17 04:51:12,Espèces,Standard,1.92,Jazz,2731.47,67,True
212,2019-05-01 21:08:04,Carte de Crédit,VIP,3.26,Classique,6808.28,167,True
213,2020-01-02 03:41:46,Carte de Crédit,Eco,3.48,Hip-Hop,7705.18,189,True
214,2021-12-13 13:46:48,Espèces,VIP,4.29,Aucune,7093.66,174,True
215,2018-09-22 14:36:58,Espèces,Standard,1.36,Rock,6930.59,170,False
216,2021-04-06 04:55:13,Carte de Crédit,Famille,4.45,Jazz,7338.27,180,True
217,2020-07-24 20:02:49,Carte de Crédit,Standard,4.27,Pop,2527.63,62,False
218,2020-12-09 16:21:23,Espèces,Famille,1.08,Jazz,4892.18,120,True
219,2018-04-28 00:30:18,Espèces,VIP,3.87,Rock,6645.21,163,False
220,2021-09-25 18:37:26,Espèces,Eco,1.7,Classique,5462.93,134,True
221,2022-06-22 17:17:45,Espèces,VIP,4.46,Rock,7338.27,180,True
222,2022-06-28 19:22:16,Carte de Crédit,Standard,3.21,Rock,7297.5,179,False
223,2020-06-17 04:53:12,PayPal,Famille,3.43,Classique,774.59,19,True
224,2019-04-06 00:55:08,PayPal,VIP,1.95,Jazz,2690.7,66,True
225,2019-12-10 11:41:16,PayPal,Famille,4.98,Classique,4810.64,118,True
226,2018-04-01 09:58:10,PayPal,VIP,4.84,Classique,122.3,3,True
227,2020-12-08 22:19:43,PayPal,VIP,1.2,Pop,6645.21,163,False
228,2020-06-24 17:14:44,Carte de Crédit,Famille,4.7,Pop,3750.67,92,True
229,2018-05-15 14:09:00,Carte de Crédit,Famille,3.38,Rock,5992.92,147,True
230,2022-04-25 06:17:13,Espèces,Eco,1.33,Rock,2649.93,65,True
231,2021-06-12 15:14:40,PayPal,Eco,1.07,Aucune,570.75,14,True
232,2018-04-28 17:34:22,Carte de Crédit,Eco,2.91,Rock,3872.97,95,True
233,2019-08-13 13:29:42,Carte de Crédit,Standard,4.99,Rock,2976.08,73,True
234,2018-11-12 02:37:44,Espèces,Eco,4.06,Rock,8112.86,199,True
235,2022-12-02 18:06:36,PayPal,Standard,3.49,Hip-Hop,7379.04,181,True
236,2022-04-05 04:03:28,Carte de Crédit,VIP,1.62,Classique,7664.41,188,True
237,2019-02-23 00:24:10,PayPal,Eco,3.98,Jazz,5422.16,133,False
238,2020-02-10 16:07:25,PayPal,Standard,2.13,Aucune,2894.54,71,True
239,2018-11-26 20:44:11,Carte de Crédit,Famille,3.2,Hip-Hop,4688.34,115,False
240,2020-08-01 13:31:31,Espèces,Standard,1.76,Jazz,4199.12,103,True
241,2022-06-17 16:57:45,Espèces,Standard,3.73,Aucune,4647.57,114,True
242,2021-03-31 19:50:27,PayPal,Standard,3.61,Jazz,5952.15,146,True
243,2020-04-21 04:42:23,Carte de Crédit,VIP,3.39,Hip-Hop,978.44,24,True
244,2022-06-06 02:50:24,PayPal,Eco,4.06,Hip-Hop,2609.16,64,False
245,2022-08-05 18:31:36,Espèces,Famille,2.64,Rock,489.22,12,True
246,2018-03-29 20:04:54,PayPal,Eco,3.44,Jazz,7786.72,191,True
247,2021-11-24 09:46:14,PayPal,Eco,2.24,Hip-Hop,6319.06,155,True
248,2020-03-10 02:24:33,Espèces,Famille,2.13,Pop,3709.9,91,True
249,2022-10-14 20:06:53,PayPal,Standard,1.12,Pop,1753.03,43,True
250,2021-05-25 04:53:30,PayPal,Standard,3.75,Classique,2731.47,67,True
251,2021-06-11 00:55:53,Espèces,Famille,3.8,Aucune,1956.87,48,False
252,2022-07-18 05:13:17,Espèces,Eco,1.14,Rock,7501.34,184,False
253,2019-05-17 01:59:02,Carte de Crédit,VIP,1.69,Jazz,4280.66,105,False
254,2022-07-22 04:36:13,Carte de Crédit,VIP,3.29,Rock,1100.74,27,True
255,2020-06-21 04:44:00,Espèces,VIP,3.18,Hip-Hop,6767.51,166,True
256,2021-06-11 11:44:10,Carte de Crédit,VIP,2.54,Jazz,4443.73,109,True
257,2021-11-11 08:19:02,Espèces,Standard,1.74,Classique,5503.7,135,True
258,2019-04-11 04:08:23,Espèces,Famille,2.11,Classique,5992.92,147,True
259,2022-11-06 11:55:32,PayPal,VIP,3.06,Pop,4117.58,101,False
260,2018-06-03 07:06:11,Espèces,VIP,2.5,Classique,1100.74,27,True
261,2018-09-24 00:24:58,PayPal,VIP,4.49,Pop,5585.24,137,True
262,2020-12-05 15:05:36,Carte de Crédit,Standard,4.07,Pop,4076.82,100,True
263,2018-05-21 06:26:35,Espèces,Eco,1.23,Aucune,7419.8,182,True
264,2020-09-09 03:43:29,Espèces,Famille,3.86,Aucune,4239.89,104,False
265,2022-04-17 20:28:11,PayPal,Eco,3.82,Rock,2731.47,67,False
266,2020-08-28 20:51:16,PayPal,Famille,3.09,Aucune,5177.56,127,True
267,2020-06-19 12:13:56,Carte de Crédit,Famille,4.38,Classique,6115.22,150,True
268,2019-04-30 15:55:13,Espèces,Standard,1.54,Jazz,81.54,2,True
269,2022-01-15 22:16:13,PayPal,Eco,3.27,Rock,6074.46,149,False
270,2020-05-19 09:01:36,PayPal,Famille,1.84,Hip-Hop,5829.85,143,False
271,2018-05-14 10:11:24,Espèces,Standard,2.36,Aucune,5259.09,129,False
272,2021-07-02 22:47:25,Espèces,VIP,2.11,Jazz,1019.2,25,True
273,2019-04-30 03:43:31,PayPal,Famille,2.35,Pop,81.54,2,True
274,2019-11-02 12:04:42,Espèces,VIP,3.54,Classique,3465.29,85,True
275,2022-07-18 16:41:41,PayPal,Standard,4.65,Pop,2568.39,63,False
276,2020-08-25 10:10:26,Carte de Crédit,Standard,2.39,Hip-Hop,978.44,24,True
277,2020-09-05 14:21:21,PayPal,Standard,4.79,Hip-Hop,122.3,3,False
278,2018-10-31 14:37:18,Espèces,Famille,4.41,Hip-Hop,2690.7,66,True
279,2019-09-07 04:16:59,Carte de Crédit,Standard,1.22,Classique,6155.99,151,False
280,2021-08-29 08:27:17,Espèces,VIP,4.39,Pop,2772.23,68,True
281,2022-04-10 06:47:26,Espèces,Famille,3.14,Pop,693.06,17,True
282,2022-09-29 19:44:27,PayPal,VIP,1.75,Hip-Hop,815.36,20,True
283,2018-02-07 03:37:25,Espèces,Famille,1.51,Classique,3261.45,80,True
284,2019-04-06 14:54:38,Espèces,VIP,2.69,Classique,5952.15,146,True
285,2020-05-05 15:59:42,Espèces,VIP,4.69,Aucune,856.13,21,True
286,2019-02-28 08:45:48,Espèces,Eco,1.6,Aucune,5544.47,136,False
287,2022-02-23 21:38:37,PayPal,Eco,1.89,Pop,5136.79,126,False
288,2021-04-20 05:18:21,Carte de Crédit,VIP,3.27,Pop,7297.5,179,True
289,2022-02-15 21:50:27,Espèces,Eco,4.34,Pop,2242.25,55,True
290,2018-02-14 14:58:50,PayPal,Standard,1.11,Jazz,8072.09,198,True
291,2022-07-05 00:42:24,PayPal,Eco,4.83,Pop,5585.24,137,False
292,2020-05-29 21:58:51,Espèces,Standard,1.6,Jazz,5585.24,137,True
293,2020-12-30 03:04:58,Espèces,Famille,3.5,Jazz,3709.9,91,True
294,2019-03-19 11:46:29,Carte de Crédit,Famille,2.83,Aucune,2772.23,68,False
295,2022-07-26 09:19:45,Carte de Crédit,Eco,2.48,Hip-Hop,4973.71,122,True
296,2019-01-12 14:49:11,PayPal,Famille,4.65,Jazz,1916.1,47,True
297,2019-05-21 19:19:00,PayPal,VIP,2.18,Aucune,6237.53,153,False
298,2020-11-22 04:15:27,Carte de Crédit,VIP,1.16,Aucune,7419.8,182,True
299,2022-12-07 10:26:04,PayPal,VIP,2.49,Hip-Hop,6808.28,167,True
300,2020-07-29 18:19:37,Espèces,Eco,2.5,Aucune,3057.61,75,True
301,2019-08-19 23:55:44,PayPal,Famille,1.65,Classique,1508.42,37,True
302,2020-05-27 23:18:30,Espèces,Standard,3.38,Pop,5462.93,134,True
303,2022-08-12 10:46:53,Carte de Crédit,Eco,1.6,Pop,1875.34,46,False
304,2022-11-06 07:58:51,Espèces,Eco,1.53,Aucune,2364.55,58,True
305,2022-10-19 15:26:59,PayPal,Famille,2.13,Pop,7949.79,195,True
306,2019-02-08 07:29:22,Espèces,Standard,1.66,Jazz,5259.09,129,True
307,2020-01-19 20:20:37,Espèces,Standard,2.99,Hip-Hop,7093.66,174,True
308,2020-01-30 18:54:38,Espèces,Famille,4.0,Aucune,1549.19,38,True
309,2018-12-28 04:44:23,PayPal,VIP,2.68,Hip-Hop,163.07,4,False
310,2022-04-14 12:55:59,PayPal,VIP,2.27,Jazz,3587.6,88,True
311,2022-09-29 20:59:21,Espèces,Famille,4.26,Aucune,1386.12,34,False
312,2020-09-29 18:30:52,Carte de Crédit,Famille,3.88,Rock,2935.31,72,False
313,2019-10-15 06:52:22,PayPal,VIP,4.31,Aucune,7745.95,190,False
314,2021-01-02 18:00:09,Carte de Crédit,Eco,2.47,Aucune,652.29,16,True
315,2019-05-27 14:28:56,Carte de Crédit,Famille,2.5,Classique,8031.33,197,True
316,2021-02-14 01:25:39,Espèces,Standard,1.88,Classique,3342.99,82,False
317,2022-10-07 04:07:16,Espèces,Famille,1.48,Rock,570.75,14,False
318,2021-09-03 23:50:58,Carte de Crédit,Famille,2.46,Hip-Hop,2486.86,61,True
319,2018-11-22 21:02:41,PayPal,Famille,2.09,Hip-Hop,5626.01,138,True
320,2022-09-22 02:34:04,Espèces,Eco,3.94,Classique,774.59,19,True
